timestamp,mag_inconsistency_angle
496000,7.315206e-09
992000,6.7150636e-09
1496000,8.164417e-09
1992000,6.9904265e-09
2496000,8.2650535e-09
2992000,8.18543e-09
3488000,8.7513925e-09
3992000,0.0004384016
4500000,4.1420466e-05
4996000,4.1264507e-06
5488000,4.1735558e-07
5996000,4.660005e-08
6500000,0.0003444817
6996000,3.4263354e-05
7492000,0.00029537783
7996000,2.7910057e-05
8492000,2.7820122e-06
9000000,2.7000027e-07
9492000,3.297266e-08
9988000,1.0295532e-08
10492000,0.00023172764
11000000,2.1899734e-05
11496000,2.1839928e-06
11992000,2.2464963e-07
12496000,2.935744e-08
12992000,9.7545465e-09
13496000,7.047587e-09
13992000,8.1816856e-09
14500000,8.216991e-09
14620000,8.154506e-09
85844000,8.110751e-09
85856000,7.75213e-09
86340000,8.006576e-09
