timestamp,speed_xy,speed_up,speed_down,want_takeoff
6632000,5.0,3.0,1.0,0
6652000,5.0,3.0,1.0,0
7612000,5.0,3.0,1.0,0
8612000,5.0,3.0,1.0,0
9592000,5.0,3.0,1.0,0
75672000,5.0,3.0,1.0,0
75692000,5.0,3.0,1.0,0
76672000,5.0,3.0,1.0,0
77672000,5.0,3.0,1.0,0
78672000,5.0,3.0,1.0,0
79672000,5.0,3.0,1.0,0
80672000,5.0,3.0,1.0,0
81672000,5.0,3.0,1.0,0
