timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
192000,32767,32767,32767,32767,32767,32767
196000,32767,32767,32767,32767,32767,32767
200000,32767,32767,32767,32767,32767,32767
204000,32767,32767,32767,32767,32767,32767
208000,32767,32767,32767,32767,32767,32767
212000,32767,32767,32767,32767,-40,32767
216000,32767,32767,32767,-40,32767,32767
220000,32767,32767,32767,32767,32767,32767
224000,32767,32767,32767,32767,32767,32767
228000,32767,32767,32767,32767,32767,32767
232000,32767,32767,32767,32767,32767,32767
236000,32767,32767,32767,32767,-40,32767
240000,32767,32767,32767,32767,32767,32767
244000,32767,32767,32767,32767,32767,32767
248000,32767,32767,32767,32767,32767,32767
252000,32767,32767,32767,32767,32767,32767
256000,32767,32767,32767,32767,-40,32767
260000,32767,32767,32767,32767,32767,32767
264000,32767,32767,32767,32767,32767,32767
268000,32767,32767,32767,32767,32767,32767
272000,32767,32767,32767,32767,32767,32767
276000,32767,32767,32767,-40,0,32767
280000,32767,32767,32767,32767,32767,32767
284000,32767,32767,32767,32767,32767,32767
288000,32767,32767,32767,32767,32767,32767
292000,32767,32767,32767,32767,32767,32767
296000,32767,32767,32767,32767,32767,32767
300000,32767,32767,32767,32767,-40,32767
304000,32767,32767,32767,32767,32767,32767
308000,32767,32767,32767,32767,32767,32767
312000,32767,32767,32767,32767,32767,32767
316000,32767,32767,32767,32767,32767,32767
320000,32767,32767,32767,32767,32767,32767
324000,32767,32767,32767,32767,-40,32767
328000,32767,32767,32767,32767,32767,32767
332000,32767,32767,32767,32767,32767,32767
336000,32767,32767,32767,32767,32767,32767
340000,32767,32767,32767,-40,32767,32767
344000,32767,32767,32767,32767,-40,32767
348000,32767,32767,32767,32767,32767,32767
352000,32767,32767,32767,32767,32767,32767
356000,32767,32767,32767,32767,32767,32767
360000,32767,32767,32767,32767,32767,32767
364000,32767,32767,32767,32767,32767,32767
368000,32767,32767,32767,32767,-40,32767
372000,32767,32767,32767,32767,32767,32767
376000,32767,32767,32767,32767,32767,32767
380000,32767,32767,32767,32767,32767,32767
384000,32767,32767,32767,32767,32767,32767
388000,32767,32767,32767,32767,-40,32767
392000,32767,32767,32767,32767,32767,32767
396000,32767,32767,32767,32767,32767,32767
400000,32767,32767,32767,32767,32767,32767
404000,32767,32767,32767,-40,32767,32767
408000,32767,32767,32767,32767,32767,32767
412000,32767,32767,32767,32767,-40,32767
416000,32767,32767,32767,32767,32767,32767
420000,32767,32767,32767,32767,32767,32767
424000,32767,32767,32767,32767,32767,32767
428000,32767,32767,32767,32767,32767,32767
432000,32767,32767,32767,32767,-40,32767
436000,32767,32767,32767,32767,32767,32767
440000,32767,32767,32767,32767,32767,32767
444000,32767,32767,32767,32767,32767,32767
448000,32767,32767,32767,32767,32767,32767
452000,32767,32767,32767,32767,32767,32767
456000,32767,32767,32767,32767,-40,32767
460000,32767,32767,32767,32767,32767,32767
464000,32767,32767,32767,32767,32767,32767
468000,32767,32767,32767,-40,32767,32767
472000,32767,32767,32767,32767,32767,32767
476000,32767,32767,32767,32767,-40,32767
480000,32767,32767,32767,32767,32767,32767
484000,32767,32767,32767,32767,32767,32767
488000,32767,32767,32767,32767,32767,32767
492000,32767,32767,32767,32767,32767,32767
496000,32767,32767,32767,32767,32767,32767
500000,32767,32767,32767,32767,-40,32767
504000,32767,32767,32767,32767,32767,32767
508000,32767,32767,32767,32767,32767,32767
512000,32767,32767,32767,32767,32767,32767
516000,32767,32767,32767,32767,32767,32767
520000,32767,32767,32767,32767,-40,32767
524000,32767,32767,32767,32767,32767,32767
528000,32767,32767,32767,-40,32767,32767
532000,32767,32767,32767,32767,32767,32767
536000,32767,32767,32767,32767,32767,32767
540000,32767,32767,32767,32767,32767,32767
544000,32767,32767,32767,32767,-40,32767
548000,32767,32767,32767,32767,32767,32767
552000,32767,32767,32767,32767,32767,32767
556000,32767,32767,32767,32767,32767,32767
560000,32767,32767,32767,32767,32767,32767
564000,32767,32767,32767,32767,-40,32767
568000,32767,32767,32767,32767,32767,32767
572000,32767,32767,32767,32767,32767,32767
576000,32767,32767,32767,32767,32767,32767
580000,32767,32767,32767,32767,32767,32767
584000,32767,32767,32767,32767,32767,32767
588000,32767,32767,32767,32767,-40,32767
592000,32767,32767,32767,-40,32767,32767
596000,32767,32767,32767,32767,32767,32767
600000,32767,32767,32767,32767,32767,32767
604000,32767,32767,32767,32767,32767,32767
608000,32767,32767,32767,32767,-40,32767
612000,32767,32767,32767,32767,32767,32767
616000,32767,32767,32767,32767,32767,32767
620000,32767,32767,32767,32767,32767,32767
624000,32767,32767,32767,32767,32767,32767
628000,32767,32767,32767,32767,0,32767
632000,32767,32767,32767,32767,32767,32767
636000,32767,32767,32767,32767,32767,32767
640000,32767,32767,32767,32767,32767,32767
644000,32767,32767,32767,32767,32767,32767
648000,32767,32767,32767,32767,32767,32767
652000,32767,32767,32767,0,-40,32767
656000,32767,32767,32767,32767,32767,32767
660000,32767,32767,32767,32767,32767,32767
664000,32767,32767,32767,32767,32767,32767
668000,32767,32767,32767,32767,32767,32767
672000,32767,32767,32767,32767,32767,32767
676000,32767,32767,32767,32767,-40,32767
680000,32767,32767,32767,32767,32767,32767
684000,32767,32767,32767,32767,32767,32767
688000,32767,32767,32767,32767,32767,32767
692000,32767,32767,32767,32767,32767,32767
696000,32767,32767,32767,32767,-40,32767
700000,32767,32767,32767,32767,32767,32767
704000,32767,32767,32767,32767,32767,32767
708000,32767,32767,32767,32767,32767,32767
712000,32767,32767,32767,32767,32767,32767
716000,32767,32767,32767,32767,32767,32767
720000,32767,32767,32767,-40,-40,32767
724000,32767,32767,32767,32767,32767,32767
728000,32767,32767,32767,32767,32767,32767
732000,32767,32767,32767,32767,32767,32767
736000,32767,32767,32767,32767,32767,32767
740000,32767,32767,32767,32767,-40,32767
744000,32767,32767,32767,32767,32767,32767
748000,32767,32767,32767,32767,32767,32767
752000,32767,32767,32767,32767,32767,32767
756000,32767,32767,32767,32767,32767,32767
760000,32767,32767,32767,32767,32767,32767
764000,32767,32767,32767,32767,-40,32767
768000,32767,32767,32767,32767,32767,32767
772000,32767,32767,32767,32767,32767,32767
776000,32767,32767,32767,0,32767,32767
780000,32767,32767,32767,32767,0,32767
784000,32767,32767,32767,32767,32767,32767
788000,32767,32767,32767,32767,32767,32767
792000,32767,32767,32767,32767,32767,32767
796000,32767,32767,32767,32767,32767,32767
800000,32767,32767,32767,32767,32767,32767
804000,32767,32767,32767,32767,32767,32767
808000,32767,32767,32767,32767,-40,32767
812000,32767,32767,32767,32767,32767,32767
816000,32767,32767,32767,32767,32767,32767
820000,32767,32767,32767,32767,32767,32767
824000,32767,32767,32767,32767,32767,32767
828000,32767,32767,32767,32767,-40,32767
832000,32767,32767,32767,32767,32767,32767
836000,32767,32767,32767,32767,32767,32767
840000,32767,32767,32767,32767,32767,32767
844000,32767,32767,32767,-40,32767,32767
848000,32767,32767,32767,32767,32767,32767
852000,32767,32767,32767,32767,-40,32767
856000,32767,32767,32767,32767,32767,32767
860000,32767,32767,32767,32767,32767,32767
864000,32767,32767,32767,32767,32767,32767
868000,32767,32767,32767,32767,32767,32767
872000,32767,32767,32767,32767,-40,32767
876000,32767,32767,32767,32767,32767,32767
880000,32767,32767,32767,32767,32767,32767
884000,32767,32767,32767,32767,32767,32767
888000,32767,32767,32767,32767,32767,32767
892000,32767,32767,32767,32767,32767,32767
896000,32767,32767,32767,32767,-40,32767
900000,32767,32767,32767,32767,32767,32767
