timestamp,mag_inconsistency_angle
496000,6.835502e-09
992000,0.00038169214
1496000,3.606569e-05
1992000,0.00035619197
2496000,3.365611e-05
2992000,0.00018033368
3488000,1.7940727e-05
3992000,0.0005799411
4488000,5.767645e-05
4996000,5.4550214e-06
5488000,5.5077845e-07
5996000,0.00086089486
6500000,8.133506e-05
6996000,8.5943786e-05
7492000,8.554042e-06
7996000,8.156392e-07
8492000,8.9025384e-08
9000000,1.434662e-08
9492000,9.295368e-09
10000000,7.364119e-09
10496000,0.00045781065
10988000,4.5532317e-05
11496000,4.3085106e-06
12000000,4.1406489e-07
12496000,4.9673744e-08
12992000,1.2636935e-08
13496000,0.00016362064
13992000,1.6277487e-05
14500000,1.5441556e-06
14632000,8.38117e-07
81080000,7.965939e-07
81092000,7.5751586e-07
81576000,8.605845e-08
