timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_x[3],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_y[3],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_frequencies_z[3],peak_magnitude_x[0],peak_magnitude_x[1],peak_magnitude_x[2],peak_magnitude_x[3],peak_magnitude_y[0],peak_magnitude_y[1],peak_magnitude_y[2],peak_magnitude_y[3],peak_magnitude_z[0],peak_magnitude_z[1],peak_magnitude_z[2],peak_magnitude_z[3],total_energy[0],total_energy[1],total_energy[2]
37664000,37640000,1310996,250.0,0.24414062,nan,nan,nan,nan,nan,nan,nan,nan,61.523438,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,314.0,370.0,18.0
38672000,38664000,1310996,250.0,0.24414062,nan,nan,nan,nan,nan,nan,nan,nan,45.410156,61.523438,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,2.0,nan,nan,427.0,423.0,36.0
43796000,43784000,1310996,250.0,0.24414062,nan,nan,nan,nan,nan,nan,nan,nan,37.597656,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,86.0,351.0,48.0
45840000,45832000,1310996,250.0,0.24414062,nan,nan,nan,nan,nan,nan,nan,nan,37.60618,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,168.0,295.0,96.0
