timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,valid_lpos,manual_home
1220000,0.0,0.0,488.04312,0.0,0.0,0.0,0.0,1,0,0,0
6608000,47.39774194762883,8.545593899680933,488.02496,0.005296084,-2.4015655e-05,0.018145213,1.5657821,1,1,1,0
14636000,47.397741888353586,8.545593871425389,487.99655,-0.0012950215,-0.0021507652,0.046582352,1.5793962,1,1,1,0
16364000,47.39774190986466,8.545593782492135,487.96866,0.0010969009,-0.008844629,0.0744586,1.5814466,1,1,1,0
23432000,47.39774190986466,8.545593782492135,487.96866,0.0010969009,-0.008844629,0.0744586,1.5418382,1,1,1,0
30464000,47.39774190986466,8.545593782492135,487.96866,0.0010969009,-0.008844629,0.0744586,1.5367752,1,1,1,0
36548000,47.39774190986466,8.545593782492135,487.96866,0.0010969009,-0.008844629,0.0744586,1.5372511,1,1,1,0
36560000,47.39774190986466,8.545593782492135,487.96866,0.0010969009,-0.008844629,0.0744586,1.536647,1,1,1,0
42284000,47.39774190986466,8.545593782492135,487.96866,0.0010969009,-0.008844629,0.0744586,1.5368899,1,1,1,0
48368000,47.39774190986466,8.545593782492135,487.96866,0.0010969009,-0.008844629,0.0744586,1.5358998,1,1,1,0
48380000,47.39774190986466,8.545593782492135,487.96866,0.0010969009,-0.008844629,0.0744586,1.5369713,1,1,1,0
58424000,47.39774190986466,8.545593782492135,487.96866,0.0010969009,-0.008844629,0.0744586,1.5362631,1,1,1,0
58436000,47.39774190986466,8.545593782492135,487.96866,0.0010969009,-0.008844629,0.0744586,1.5394745,1,1,1,0
58604000,47.39774190986466,8.545593782492135,487.96866,0.0010969009,-0.008844629,0.0744586,1.5371108,1,1,1,0
63956000,47.39774190986466,8.545593782492135,487.96866,0.0010969009,-0.008844629,0.0744586,1.5386811,1,1,1,0
63968000,47.39774190986466,8.545593782492135,487.96866,0.0010969009,-0.008844629,0.0744586,1.5391078,1,1,1,0
69524000,47.39774190986466,8.545593782492135,487.96866,0.0010969009,-0.008844629,0.0744586,1.5396274,1,1,1,0
69536000,47.39774190986466,8.545593782492135,487.96866,0.0010969009,-0.008844629,0.0744586,1.5429631,1,1,1,0
79556000,47.39774190986466,8.545593782492135,487.96866,0.0010969009,-0.008844629,0.0744586,1.529355,1,1,1,0
81080000,47.39774787480177,8.545626300570673,488.15646,0.66436815,2.4387388,-0.1133491,1.56248,1,1,1,0
