timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
180000,0.020772833,0.14034854,-0.0063924864,4000,0,0.15801731,-0.07781139,-9.913193,4000,0
184000,0.033289623,0.12650011,-0.0034627889,4000,0,0.53510416,-0.19033885,-12.052412,4000,0
192000,0.030093893,0.06950846,0.0042608646,4000,0,0.82480264,-0.32920247,-14.877571,4000,0
196000,0.023169676,0.031957872,0.00932085,4000,0,0.91578215,-0.29448658,-15.291768,4000,0
200000,0.019707518,-0.0053263376,0.009853447,4000,0,0.91338795,-0.27413586,-15.061923,4000,0
204000,0.013582248,-0.041278988,0.005592391,4000,0,0.78649527,-0.22026631,-14.268248,4000,0
208000,0.0039948504,-0.06604642,0.0010650193,4000,0,0.60214186,-0.1604113,-13.071146,4000,0
216000,0.0015978868,-0.08202538,-0.0023968045,4000,0,0.07302317,-0.0957679,-10.052057,4000,0
220000,0.0018641286,-0.07829695,0.0007989564,4000,0,-0.14963764,-0.041898385,-8.675392,4000,0
224000,-0.0018641868,-0.07217169,-0.00026641093,4000,0,-0.4285621,-0.015562179,-7.65187,4000,0
228000,-0.006924187,-0.05752429,-0.0015980288,4000,0,-0.59735346,0.016759535,-6.95396,4000,0
232000,-0.009853706,-0.034621093,-0.00053274195,4000,0,-0.59974766,0.023942133,-6.57807,4000,0
240000,-0.00479369,0.017576868,0.0005325664,4000,0,-0.43335056,0.051475465,-6.845023,4000,0
244000,0.00026630907,0.03115899,-0.00026636696,4000,0,-0.36272162,0.093374,-7.4531507,4000,0
248000,0.0039947177,0.037284255,-0.0026631989,4000,0,-0.20949265,0.12689285,-8.214506,4000,0
252000,0.0021305783,0.043942165,0.0007989813,4000,0,-0.055066645,0.112527646,-9.0237465,4000,0
256000,0.002130591,0.045273736,0.005060008,4000,0,0.035913024,0.106542155,-9.880873,4000,0
260000,0.00745683,0.04181165,0.0031957119,4000,0,0.14724344,0.09696536,-10.647015,4000,0
264000,0.0058589233,0.03648531,0.000532642,4000,0,0.27174193,0.02035091,-11.191698,4000,0
268000,0.0037284216,0.024767399,3.4583774e-09,4000,0,0.32800567,-0.04668674,-11.569982,4000,0
272000,0.0023968318,0.010120014,-0.0015979039,4000,0,0.3196259,-0.051475137,-11.762714,4000,0
276000,-0.00266318,5.984325e-09,-0.00559263,4000,0,0.3184288,-0.08020556,-11.669339,4000,0
280000,-0.0018642279,-0.007989487,-0.0055926316,4000,0,0.22864625,-0.13287802,-11.409571,4000,0
284000,-0.0010653002,-0.01837581,0.0005326405,4000,0,0.117315896,-0.1197099,-11.091139,4000,0
288000,-0.0077231834,-0.02822951,0.0034620718,4000,0,0.11252749,-0.06584036,-10.658988,4000,0
292000,-0.010652606,-0.03328953,-1.5120493e-08,4000,0,0.047884032,-0.03471575,-10.139445,4000,0
296000,-0.006657841,-0.03488743,-0.0055925893,4000,0,-0.089782566,-0.00957664,-9.646238,4000,0
300000,-0.004527312,-0.029561108,-0.010120002,4000,0,-0.12928693,0.032321893,-9.209297,4000,0
304000,-0.003462092,-0.019707395,-0.008522122,4000,0,-0.1376666,0.061052307,-8.85376,4000,0
308000,0.001864192,-0.013582131,-0.0026631334,4000,0,-0.16519995,0.058658097,-8.631097,4000,0
312000,0.009587363,-0.009321075,0.0021305666,4000,0,-0.19512744,0.08619142,-8.5473,4000,0
316000,0.011717902,-0.0042610625,0.0039947643,4000,0,-0.20829557,0.09337402,-8.611943,4000,0
320000,0.009321055,0.0047936984,0.0013316128,4000,0,-0.14125791,0.055066798,-8.816649,4000,0
324000,0.011717906,0.01464739,0.0013316078,4000,0,-0.05267244,0.031124782,-9.097966,4000,0
328000,0.014647392,0.016245281,0.0021305217,4000,0,0.021547817,0.010774072,-9.414003,4000,0
332000,0.009853681,0.0135821365,-0.0013315674,4000,0,0.044292733,0.0011972715,-9.769541,4000,0
336000,0.004527382,0.014913701,0.00026634487,4000,0,0.035913024,-0.021547642,-10.103531,4000,0
340000,0.0039947582,0.014381067,0.0034621116,4000,0,0.06943185,-0.06823457,-10.336967,4000,0
344000,0.0013315678,0.0066579063,-0.0010652619,4000,0,0.10773909,-0.08738819,-10.481815,4000,0
348000,-0.0045273826,0.00026631946,-0.0037284158,4000,0,0.12569559,-0.057460662,-10.53449,4000,0
352000,-0.010918963,-0.002130513,0.001597901,4000,0,0.082599975,0.037110317,-10.502166,4000,0
356000,-0.016777912,-0.0071905353,0.0026631756,4000,0,0.0035913028,0.065840736,-10.435128,4000,0
360000,-0.019441066,-0.014381089,3.3579884e-08,4000,0,0.010773908,-0.028730243,-10.265141,4000,0
364000,-0.015180027,-0.017044226,0.001331618,4000,0,0.04908113,-0.08259979,-10.048465,4000,0
368000,-0.007723165,-0.012783176,0.00053265283,4000,0,0.01436521,-0.0825998,-9.878476,4000,0
372000,-0.006924213,-0.008255806,-0.0013315892,4000,0,-0.049081136,-0.027533153,-9.677362,4000,0
376000,-0.008522122,-0.010652643,9.488633e-10,4000,0,-0.039504327,0.032321896,-9.510968,4000,0
380000,-0.0058589587,-0.015180017,0.0010652866,4000,0,-0.18435356,0.06344651,-9.414003,4000,0
384000,-0.0018642115,-0.011717911,0.0005326455,4000,0,-0.49559975,0.08858564,-9.336189,4000,0
388000,9.9294e-10,0.000266316,-0.00026631635,4000,0,-0.43215346,0.06943202,-9.29908,4000,0
392000,-0.0007989478,0.006657903,1.8712663e-10,4000,0,-0.1197101,0.06105231,-9.338586,4000,0
396000,-0.0013315817,0.0042610588,-0.0005326304,4000,0,0.008379708,0.06823491,-9.454704,4000,0
400000,-0.0023968455,0.003728426,-0.00079894665,4000,0,-0.009576808,0.09097984,-9.5564575,4000,0
404000,-0.0034621092,0.0058589554,-0.0010652649,4000,0,-0.03232173,0.09337404,-9.682154,4000,0
408000,0.0002663133,0.009587376,-0.0031958052,4000,0,-0.0047884043,0.07062913,-9.8677025,4000,0
412000,0.0055926414,0.007989479,-0.0018642299,4000,0,0.029927526,0.063446514,-10.004173,4000,0
416000,0.00479369,0.00079894596,-0.0002663274,4000,0,0.04070143,0.025139298,-10.098745,4000,0
420000,0.00026631614,0.00053263275,-0.00026631536,4000,0,0.055066645,-0.027533146,-10.149022,4000,0
424000,0.0007989486,0.0013315805,-4.0096748e-13,4000,0,0.06464346,-0.04788386,-10.129869,4000,0
428000,0.0037284256,-0.0034621092,-0.0010652672,4000,0,0.039504327,-0.028730243,-10.120293,4000,0
432000,0.0015978948,-0.0053263227,-4.86853e-09,4000,0,0.007182605,0.0011972773,-10.115502,4000,0
436000,-0.0010652664,-0.0021305298,0.0010652614,4000,0,-0.014365209,0.008379882,-10.061634,4000,0
440000,-0.0015978995,-0.0018642121,0.0045273746,4000,0,0.044292733,-0.016759243,-9.976641,4000,0
444000,-0.0031957913,-0.004527376,0.0074568526,4000,0,0.1436521,-0.04429256,-9.866505,4000,0
