timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,valid_lpos,manual_home
1208000,0.0,0.0,488.0435,0.0,0.0,0.0,0.0,1,0,0,0
6608000,47.39774193102285,8.545593861268271,488.0231,0.0034495837,-0.0029152753,0.02037083,1.5647447,1,1,1,0
14636000,47.39774188350584,8.545593994443685,487.9971,-0.0018340669,0.007108625,0.046371862,1.5812054,1,1,1,0
16364000,47.397741927341706,8.54559379244473,487.96542,0.0030402595,-0.008095513,0.07807092,1.5829213,1,1,1,0
22748000,47.397741927341706,8.54559379244473,487.96542,0.0030402595,-0.008095513,0.07807092,1.5345545,1,1,1,0
31028000,47.397741927341706,8.54559379244473,487.96542,0.0030402595,-0.008095513,0.07807092,1.5274138,1,1,1,0
45044000,47.397741927341706,8.54559379244473,487.96542,0.0030402595,-0.008095513,0.07807092,1.6123699,1,1,1,0
45224000,47.397741927341706,8.54559379244473,487.96542,0.0030402595,-0.008095513,0.07807092,1.5263996,1,1,1,0
61400000,47.397741927341706,8.54559379244473,487.96542,0.0030402595,-0.008095513,0.07807092,1.6212077,1,1,1,0
61820000,47.397741927341706,8.54559379244473,487.96542,0.0030402595,-0.008095513,0.07807092,1.5204325,1,1,1,0
77576000,47.397741927341706,8.54559379244473,487.96542,0.0030402595,-0.008095513,0.07807092,1.633724,1,1,1,0
