timestamp,position,velocity,acceleration,attitude,body_rate
1344000,1,0,0,0,0
1380000,1,0,0,0,0
1444000,1,0,0,0,0
1548000,1,0,0,0,0
1648000,1,0,0,0,0
1748000,1,0,0,0,0
1848000,1,0,0,0,0
1944000,1,0,0,0,0
2044000,1,0,0,0,0
2144000,1,0,0,0,0
2248000,1,0,0,0,0
2344000,1,0,0,0,0
2448000,1,0,0,0,0
2548000,1,0,0,0,0
2648000,1,0,0,0,0
2748000,1,0,0,0,0
2844000,1,0,0,0,0
2948000,1,0,0,0,0
3048000,1,0,0,0,0
3148000,1,0,0,0,0
3248000,1,0,0,0,0
3348000,1,0,0,0,0
3444000,1,0,0,0,0
3544000,1,0,0,0,0
3648000,1,0,0,0,0
3748000,1,0,0,0,0
3844000,1,0,0,0,0
3948000,1,0,0,0,0
4044000,1,0,0,0,0
4144000,1,0,0,0,0
4248000,1,0,0,0,0
4348000,1,0,0,0,0
4448000,1,0,0,0,0
4544000,1,0,0,0,0
4648000,1,0,0,0,0
4744000,1,0,0,0,0
4848000,1,0,0,0,0
4948000,1,0,0,0,0
5048000,1,0,0,0,0
5144000,1,0,0,0,0
5244000,1,0,0,0,0
5344000,1,0,0,0,0
5448000,1,0,0,0,0
5544000,1,0,0,0,0
5644000,1,0,0,0,0
5744000,1,0,0,0,0
5848000,1,0,0,0,0
5948000,1,0,0,0,0
6044000,1,0,0,0,0
6144000,1,0,0,0,0
6244000,1,0,0,0,0
6344000,1,0,0,0,0
6448000,1,0,0,0,0
6544000,1,0,0,0,0
6648000,1,0,0,0,0
6744000,1,0,0,0,0
6844000,1,0,0,0,0
6944000,1,0,0,0,0
7048000,1,0,0,0,0
7144000,1,0,0,0,0
7248000,1,0,0,0,0
7344000,1,0,0,0,0
7448000,1,0,0,0,0
7544000,1,0,0,0,0
7644000,1,0,0,0,0
7748000,1,0,0,0,0
7844000,1,0,0,0,0
7948000,1,0,0,0,0
8044000,1,0,0,0,0
8144000,1,0,0,0,0
8244000,1,0,0,0,0
8348000,1,0,0,0,0
8448000,1,0,0,0,0
8544000,1,0,0,0,0
8648000,1,0,0,0,0
8748000,1,0,0,0,0
8848000,1,0,0,0,0
8948000,1,0,0,0,0
9048000,1,0,0,0,0
9148000,1,0,0,0,0
