timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
5624000,0.00018269091,-0.06263474,1.901151e-05,0.0,0.0,-0.0
5628000,0.0001153242,-0.06264212,3.903699e-05,0.0,0.0,-0.0
5644000,-0.000102245685,-0.061894055,1.8444112e-05,0.0,0.0,-0.0
5660000,-0.00061695353,-0.062251993,8.15878e-06,0.0,0.0,-0.0
5684000,-0.0005751862,-0.06323527,-1.5970534e-05,0.0,0.0,-0.0
5700000,-0.0007070457,-0.06324875,1.0835815e-05,0.0,0.0,-0.0
5720000,-0.00050362846,-0.06298754,7.08878e-05,0.0,0.0,-0.0
5744000,-0.0008950465,-0.06143186,1.6612188e-05,0.0,0.0,-0.0
5760000,-0.00091378373,-0.06138942,-5.4194905e-05,0.0,0.0,-0.0
5784000,-0.0009144481,-0.06237507,-4.97381e-05,0.0,0.0,-0.0
5800000,-0.00061369233,-0.06277872,2.5822916e-05,0.0,0.0,-0.0
5824000,-0.000317944,-0.06361362,-3.404289e-05,0.0,0.0,-0.0
5844000,-0.0007168413,-0.062367477,1.4848204e-05,0.0,0.0,-0.0
5860000,-0.0007051341,-0.06200523,1.8812065e-05,0.0,0.0,-0.0
5880000,-0.00031999254,-0.06336736,3.1847714e-05,0.0,0.0,-0.0
5900000,-0.0003619813,-0.06403611,-9.475455e-06,0.0,0.0,-0.0
5920000,-0.00024428425,-0.06379715,-1.7710976e-05,0.0,0.0,-0.0
5940000,0.00037435736,-0.06287219,-6.5067948e-06,0.0,0.0,-0.0
5960000,0.00036126288,-0.062514566,2.9512825e-05,0.0,0.0,-0.0
5984000,0.00068370526,-0.06364599,-8.02973e-06,0.0,0.0,-0.0
6000000,0.00085930445,-0.06418096,-2.756617e-05,0.0,0.0,-0.0
6020000,0.00084959366,-0.06432773,-0.000115178955,0.0,0.0,-0.0
6040000,0.0005468347,-0.063502155,4.3879914e-05,0.0,0.0,-0.0
6060000,0.00066245685,-0.06304369,-0.000116741525,0.0,0.0,-0.0
6084000,0.000787575,-0.064270295,-8.840092e-05,0.0,0.0,-0.0
6104000,0.00046841233,-0.06510681,-2.9303512e-05,0.0,0.0,-0.0
6124000,0.0010137489,-0.065347984,-6.9998505e-06,0.0,0.0,-0.0
6140000,0.0010536503,-0.06449361,-5.4112388e-05,0.0,0.0,-0.0
6160000,0.0011851018,-0.06343648,-4.9654154e-05,0.0,0.0,-0.0
6184000,0.001668192,-0.063666776,-4.683065e-05,0.0,0.0,-0.0
6204000,0.0018622071,-0.06429077,2.4841806e-06,0.0,0.0,-0.0
6220000,0.001818019,-0.06415031,-9.467937e-06,0.0,0.0,-0.0
6244000,0.0024886313,-0.06332287,-1.6344711e-05,0.0,0.0,-0.0
6264000,0.0024631917,-0.062672704,2.1828994e-06,0.0,0.0,-0.0
6280000,0.002538183,-0.062032167,-3.1952462e-05,0.0,0.0,-0.0
6304000,0.002549561,-0.06271453,3.963388e-05,0.0,0.0,-0.0
6324000,0.0024035485,-0.062803514,1.7632457e-05,0.0,0.0,-0.0
