timestamp,speed_xy,speed_up,speed_down,want_takeoff
8696000,5.0,3.0,1.0,0
8716000,5.0,3.0,1.0,0
9596000,5.0,3.0,1.0,0
75656000,5.0,3.0,1.0,0
75676000,5.0,3.0,1.0,0
76656000,5.0,3.0,1.0,0
77656000,5.0,3.0,1.0,0
78656000,5.0,3.0,1.0,0
79656000,5.0,3.0,1.0,0
80656000,5.0,3.0,1.0,0
81656000,5.0,3.0,1.0,0
82656000,5.0,3.0,1.0,0
