timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
8408000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
75644000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
79776000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
79824000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
79876000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
79924000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
79976000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
80024000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
80076000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
80124000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
80180000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
80236000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
80284000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
80336000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
80384000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
80436000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
80484000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
80536000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
80584000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
80636000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
80684000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
80736000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
80784000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
80836000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
80884000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
80936000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
80984000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
81036000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
81084000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
81136000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
81188000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
81244000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
81296000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
81344000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
81396000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
81444000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
81496000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
81544000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
81596000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
81644000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
81692000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
81744000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
