timestamp,tilt_limit,takeoff_state
708000,0.0,1
8212000,0.0024,1
8220000,0.004,1
9212000,0.2023999,1
9252000,0.20943952,1
14620000,0.20943952,2
15620000,0.20943952,3
15652000,0.20943952,4
18660000,0.21103951,5
18672000,0.21343951,5
19652000,0.40943977,5
20652000,0.60944015,5
21532000,0.7853982,5
79992000,0.7829982,3
80000000,0.7813982,3
80992000,0.5829978,3
81992000,0.38299736,1
