timestamp,load,ram_usage
1004000,0.10204082,0.36276263
1504000,0.08,0.3632193
2004000,0.06666667,0.36325377
2504000,0.08,0.3629641
3004000,0.08,0.36261827
3504000,0.078431375,0.36262664
4004000,0.08,0.3626163
4504000,0.08,0.36260006
5004000,0.1,0.36249265
5504000,0.06,0.3623646
6004000,0.1,0.3622577
6504000,0.06,0.36234143
7004000,0.09803922,0.3620483
7504000,0.06,0.3620749
8004000,0.1,0.36212862
8504000,0.08,0.36219907
9004000,0.08,0.36228034
9504000,0.1,0.362302
10004000,0.06,0.36231875
10504000,0.078431375,0.3623143
11004000,0.1,0.3625907
11504000,0.06,0.36258823
12004000,0.1,0.36260352
12504000,0.08,0.36262813
13004000,0.078431375,0.36319417
13504000,0.08,0.36297247
14004000,0.08,0.36302027
14504000,0.08,0.36300895
15004000,0.1,0.3631306
15504000,0.06,0.36314538
16004000,0.08,0.36318088
16504000,0.08,0.36317348
17004000,0.08,0.36338875
17504000,0.08,0.3633996
18004000,0.078431375,0.36340156
18504000,0.08,0.36340746
19004000,0.06,0.36324194
19504000,0.08,0.363172
20004000,0.08,0.3632587
20504000,0.08,0.36320993
21004000,0.08,0.36329713
21504000,0.05882353,0.3636932
22004000,0.1,0.36376363
22504000,0.08,0.3637809
23004000,0.06,0.36327
23504000,0.1,0.36340845
24004000,0.06,0.36186504
24504000,0.08,0.36177146
25004000,0.08,0.3617631
25504000,0.078431375,0.36167145
26004000,0.08,0.3616887
26504000,0.08,0.36155173
27004000,0.06,0.3615537
27504000,0.08,0.36161825
28004000,0.08,0.36157143
28504000,0.06,0.36148572
29004000,0.08,0.36153942
29504000,0.08,0.36153156
30004000,0.08,0.36152118
30504000,0.08,0.36154237
31004000,0.06,0.36142465
31504000,0.1,0.36086306
32004000,0.05882353,0.3610463
32504000,0.08,0.36125913
33004000,0.06,0.36119163
33504000,0.08,0.36127636
34004000,0.08,0.3612941
34504000,0.08,0.36124828
35004000,0.08,0.36111084
35504000,0.08,0.36132315
36004000,0.078431375,0.36129114
36504000,0.08,0.36130002
37004000,0.08,0.36129606
37504000,0.06,0.36118373
38004000,0.08,0.36113647
38504000,0.08,0.3611729
39004000,0.1,0.3613281
39504000,0.05882353,0.3612212
40004000,0.08,0.3612138
40504000,0.08,0.36127487
41004000,0.06,0.36123645
41504000,0.1,0.36124778
42004000,0.08,0.36111134
42504000,0.08,0.36111626
43004000,0.06,0.36083102
43504000,0.078431375,0.36100885
44004000,0.08,0.3610916
44504000,0.06,0.3610803
45004000,0.1,0.3611941
45504000,0.06,0.36117142
46004000,0.08,0.3611734
46504000,0.08,0.36121675
47004000,0.05882353,0.36092708
47504000,0.08,0.36093596
48004000,0.08,0.3609256
48504000,0.08,0.36094728
49004000,0.08,0.36093792
49504000,0.08,0.36096206
50004000,0.06,0.36098078
50504000,0.08,0.3609877
51004000,0.08,0.36096057
51504000,0.05,0.36094925
52004000,0.09803922,0.36091772
52504000,0.06,0.36093006
53004000,0.08,0.36088964
53504000,0.06,0.36098966
54004000,0.1,0.36095566
54504000,0.08,0.36096305
55004000,0.06,0.3609448
55504000,0.06,0.36086404
56004000,0.1,0.36089656
56504000,0.06,0.3609054
57004000,0.1,0.36089754
57504000,0.08,0.36083004
58004000,0.05882353,0.3608379
58504000,0.08,0.36086354
59004000,0.08,0.36054036
59504000,0.08,0.36076993
60004000,0.1,0.3607463
60504000,0.06,0.3607586
61004000,0.08,0.36076894
61504000,0.08,0.36072165
62004000,0.08,0.36116403
62504000,0.08,0.36114433
63004000,0.08,0.36130345
63504000,0.08,0.36132216
64004000,0.078431375,0.36129016
64504000,0.06,0.36131677
65004000,0.1,0.36125025
65504000,0.06,0.36127833
66004000,0.08,0.36127144
66504000,0.06,0.3612271
67004000,0.1,0.361233
67504000,0.078431375,0.36122513
68004000,0.05,0.3612734
68504000,0.1,0.3613813
69004000,0.08,0.36132365
69504000,0.1,0.36139312
70004000,0.08,0.36141133
70504000,0.06,0.36140296
71004000,0.08,0.36145815
71504000,0.083333336,0.36149263
72004000,0.06,0.3614744
72504000,0.08,0.36145076
73004000,0.078431375,0.36149952
73504000,0.08,0.36147785
74004000,0.08,0.36147046
74504000,0.06,0.3615158
75004000,0.1,0.36153892
75504000,0.06,0.36153597
76004000,0.08,0.36160445
76504000,0.1,0.3616153
77004000,0.06,0.36173895
77504000,0.078431375,0.36176455
78004000,0.10204082,0.36167046
78504000,0.05882353,0.36175224
79004000,0.083333336,0.3617419
79504000,0.08,0.3617276
80004000,0.08,0.36174092
80504000,0.08,0.36176506
81004000,0.08,0.3631981
81504000,0.08,0.3617005
82004000,0.078431375,0.36172417
82504000,0.08,0.3616887
83004000,0.08,0.36169362
83504000,0.06,0.36167935
84004000,0.1,0.3613473
84504000,0.08,0.36148524
85004000,0.08,0.36164287
85504000,0.078431375,0.36175075
86004000,0.08,0.36156702
86504000,0.06666667,0.36147046
