timestamp,mag_inconsistency_angle
496000,6.9537953e-09
992000,7.4359847e-09
1496000,6.967799e-09
1992000,8.554304e-09
2496000,8.164129e-09
2992000,8.082631e-09
3488000,8.7683665e-09
3992000,9.329191e-09
4488000,0.00012105783
4996000,6.358037e-05
5488000,6.3299753e-06
5996000,0.0002736072
6500000,0.00042043097
6996000,0.00019068207
7500000,1.8020879e-05
7996000,1.7994142e-06
8492000,1.8539268e-07
8988000,0.00032073804
9492000,3.0307256e-05
10000000,9.524831e-05
10496000,9.478853e-06
11000000,0.00011749771
11496000,1.1690654e-05
11992000,1.168972e-06
12496000,1.1740967e-07
12992000,1.9596387e-08
13496000,0.0007996818
13992000,0.0013830732
14500000,0.00013066451
14992000,1.299912e-05
15488000,1.2992349e-06
15996000,1.3090403e-07
16348000,3.1958837e-08
