timestamp,rtl_time_s,rtl_limit_fraction
6404000,2.6574205e-11,2.9526898e-14
7408000,0.006466889,7.1854324e-06
8416000,0.0073293867,8.143763e-06
9428000,0.006813731,7.570813e-06
10436000,0.0050142896,5.571433e-06
11468000,0.009978941,1.1087713e-05
12476000,0.01821854,2.0242822e-05
13476000,0.026053376,2.8948196e-05
14488000,0.030780412,3.4200457e-05
15496000,0.05427515,6.0305723e-05
16508000,0.0005809227,6.454697e-07
17516000,0.005830404,6.478227e-06
18516000,0.0119844545,1.3316061e-05
19528000,0.029356612,3.261846e-05
20536000,0.040828615,4.536513e-05
21548000,0.16396669,0.00018218522
22556000,0.4398372,0.000488708
23556000,0.7604511,0.0008449457
24568000,1.0974134,0.0012193484
25576000,1.4442606,0.0016047341
26588000,1.6851765,0.0018724184
27596000,1.946958,0.0021632868
28596000,2.3903208,0.0026559122
29608000,2.537712,0.0028196801
30616000,2.4214468,0.0026904966
31628000,2.3403516,0.0026003907
32636000,2.2595646,0.0025106275
33636000,2.210233,0.0024558145
34648000,2.1758678,0.002417631
35656000,2.1468787,0.002385421
36668000,2.1326532,0.002369615
37676000,2.1264238,0.0023626934
38676000,2.116915,0.002352128
39688000,2.1127713,0.0023475238
40696000,2.1103337,0.0023448155
