timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
504000,inf,0,1,1,1,0,0,1,1,0,1
1504000,inf,0,1,1,1,0,0,1,0,0,1
2504000,inf,0,1,1,1,0,0,1,0,0,1
3504000,inf,0,1,1,1,0,0,1,0,0,1
4504000,inf,0,1,1,1,0,0,1,0,0,1
5504000,inf,0,1,1,1,0,0,1,0,0,1
6504000,inf,0,1,1,1,0,0,1,0,0,1
6844000,inf,0,1,1,1,1,1,1,0,0,1
7844000,inf,0,1,1,1,1,1,1,0,0,1
8844000,inf,0,1,1,1,1,1,1,0,0,1
9844000,inf,0,1,1,1,1,1,1,0,0,1
10844000,inf,0,1,1,1,1,1,1,0,0,1
11384000,inf,0,1,1,1,0,0,1,0,0,1
12384000,inf,0,1,1,1,0,0,1,0,0,1
13384000,inf,0,1,1,1,0,0,1,0,0,1
14384000,inf,0,1,1,1,0,0,1,0,0,1
15384000,inf,0,1,1,1,0,0,1,0,0,1
16384000,inf,0,1,1,1,0,0,1,0,0,1
17384000,inf,0,1,1,1,1,0,1,0,0,1
18092000,inf,0,1,0,0,1,0,1,0,0,1
18104000,inf,0,0,0,0,1,0,1,0,0,1
19104000,inf,0,0,0,0,1,0,0,0,0,1
20104000,inf,0,0,0,0,1,0,0,0,0,1
21104000,inf,0,0,0,0,1,0,0,1,0,1
22104000,inf,0,0,0,0,1,0,0,1,0,1
23092000,inf,0,0,0,0,0,0,0,0,0,1
24092000,inf,0,0,0,0,0,0,0,0,0,1
25092000,inf,0,0,0,0,0,0,0,1,0,1
26092000,inf,0,0,0,0,0,0,0,0,0,1
27092000,inf,0,0,0,0,0,0,0,0,0,1
28092000,inf,0,0,0,0,0,0,0,0,0,1
29092000,inf,0,0,0,0,0,0,0,0,0,1
30092000,inf,0,0,0,0,0,0,0,0,0,1
31092000,inf,0,0,0,0,0,0,0,0,0,1
32092000,inf,0,0,0,0,0,0,0,0,0,1
33092000,inf,0,0,0,0,0,0,0,0,0,1
34092000,inf,0,0,0,0,0,0,0,0,0,1
35092000,inf,0,0,0,0,0,0,0,0,0,1
36092000,inf,0,0,0,0,0,0,0,0,0,1
37092000,inf,0,0,0,0,0,0,0,0,0,1
38092000,inf,0,0,0,0,0,0,0,0,0,1
39092000,inf,0,0,0,0,0,0,0,0,0,1
