timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,valid_lpos,manual_home
1004000,0.0,0.0,488.0358,0.0,0.0,0.0,0.0,1,0,0,0
6404000,47.39774191865954,8.54559364279798,488.01782,0.0020748458,-0.019359184,0.017981935,1.5605644,1,1,1,0
14636000,47.39774185167252,8.545593935829167,487.98627,-0.0053737704,0.002696804,0.049537566,1.5774072,1,1,1,0
16364000,47.39774191289822,8.54559391397566,487.963,0.001434217,0.0010519255,0.072773546,1.5810995,1,1,1,0
29240000,47.39774191289822,8.54559391397566,487.963,0.001434217,0.0010519255,0.072773546,1.5799838,1,1,1,0
34124000,47.39774191289822,8.54559391397566,487.963,0.001434217,0.0010519255,0.072773546,1.5813428,1,1,1,0
46832000,47.39774191289822,8.54559391397566,487.963,0.001434217,0.0010519255,0.072773546,1.5241886,1,1,1,0
58412000,47.39774191289822,8.54559391397566,487.963,0.001434217,0.0010519255,0.072773546,1.5773124,1,1,1,0
69152000,47.39774191289822,8.54559391397566,487.963,0.001434217,0.0010519255,0.072773546,1.4950858,1,1,1,0
80228000,47.39775088610761,8.545610073230385,488.81943,0.9992097,1.217333,-0.7836402,1.6309644,1,1,1,0
