timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
196000,0.0,0.0,0.0,0.0
400000,0.0,0.0,0.0,0.0
600000,0.0,0.0,0.0,0.0
800000,0.0,0.0,0.0,0.0
1000000,0.0,0.0,0.0,0.0
1200000,0.0,0.0,0.0,0.0
1396000,0.0,0.0,0.0,0.0
1600000,0.0,0.0,0.0,0.0
1800000,0.0,0.0,0.0,0.0
2000000,0.0,0.0,0.0,0.0
2200000,0.0,0.0,0.0,0.0
2400000,0.0,0.0,0.0,0.0
2600000,0.0,0.0,0.0,0.0
2800000,0.0,0.0,0.0,0.0
3000000,0.0,0.0,0.0,0.0
3196000,0.0,0.0,0.0,0.0
3396000,0.0,0.0,0.0,0.0
3600000,0.0,0.0,0.0,0.0
3796000,0.0,0.0,0.0,0.0
4000000,0.0,0.0,0.0,0.0
4200000,0.0,0.0,0.0,0.0
4396000,0.0,0.0,0.0,0.0
4600000,0.0,0.0,0.0,0.0
4800000,0.0,0.0,0.0,0.0
4996000,0.0,0.0,0.0,0.0
5200000,0.0,0.0,0.0,0.0
5400000,0.0,0.0,0.0,0.0
5600000,0.0,0.0,0.0,0.0
5800000,0.0,0.0,0.0,0.0
6000000,0.0,0.0,0.0,0.0
6200000,0.0,0.0,0.0,0.0
6400000,0.0,0.0,0.0,0.0
6600000,0.0,0.0,0.0,0.0
6800000,0.0,0.0,0.0,0.0
7000000,0.0,0.0,0.0,0.0
7200000,0.0,0.0,0.0,0.0
7400000,0.0,0.0,0.0,0.0
7600000,0.0,0.0,0.0,0.0
7800000,0.0,0.0,0.0,0.0
8000000,0.0,0.0,0.0,0.0
8200000,0.0,0.0,0.0,0.0
8400000,0.0,0.0,0.0,0.0
8600000,0.0,0.0,0.0,0.0
8800000,0.0,0.0,0.0,0.0
9000000,0.0,0.0,0.0,0.0
9200000,0.0,0.0,0.0,0.0
9400000,0.0,0.0,0.0,0.0
9600000,0.0,0.0,0.0,0.0
9796000,0.0,0.0,0.0,0.0
10000000,0.0,0.0,0.0,0.0
10200000,0.0,0.0,0.0,0.0
10400000,0.0,0.0,0.0,0.0
10600000,0.0,0.0,0.0,0.0
10800000,0.0,0.0,0.0,0.0
11000000,0.0,0.0,0.0,0.0
11200000,0.0,0.0,0.0,0.0
11400000,0.0,0.0,0.0,0.0
11600000,0.0,0.0,0.0,0.0
11800000,0.0,0.0,0.0,0.0
12000000,0.0,0.0,0.0,0.0
12200000,0.0,0.0,0.0,0.0
12400000,0.0,0.0,0.0,0.0
12600000,0.0,0.0,0.0,0.0
12796000,0.0,0.0,0.0,0.0
13000000,0.0,0.0,0.0,0.0
13200000,0.0,0.0,0.0,0.0
13400000,0.0,0.0,0.0,0.0
13600000,0.0,0.0,0.0,0.0
13800000,0.0,0.0,0.0,0.0
14000000,0.0,0.0,0.0,0.0
14200000,0.0,0.0,0.0,0.0
14400000,0.0,0.0,0.0,0.0
14600000,0.0,0.0,0.0,0.0
14800000,0.0,0.0,0.0,0.0
15000000,0.0,0.0,0.0,0.0
15200000,0.0,0.0,0.0,0.0
15400000,0.0,0.0,0.0,0.0
15600000,0.0,0.0,0.0,0.0
15800000,0.0,0.0,0.0,0.0
15996000,0.0,0.0,0.0,0.0
16200000,0.0,0.0,0.0,0.0
16400000,-0.002205799,-0.0028032549,-0.0002595999,0.0
16600000,-0.0061754687,-0.009361128,-0.0008793223,0.0
16800000,-0.0064567737,-0.015981734,-0.0014461599,0.0
17000000,-0.0057552163,-0.023243658,-0.0020257,0.0
17200000,-0.005240705,-0.030445663,-0.0026139622,0.0
17400000,-0.0055648866,-0.037527174,-0.003221842,0.0
17600000,-0.007077723,-0.04547333,-0.003798838,0.0
17800000,-0.008769039,-0.052230548,-0.0043656626,0.0
18000000,-0.010442064,-0.056972627,-0.0049408427,0.0
18200000,-0.011977746,-0.060810514,-0.005530583,0.0
18400000,-0.013392114,-0.06359453,-0.006109985,0.0
18600000,-0.013711474,-0.06558956,-0.006656952,0.0
18800000,-0.0129140215,-0.059824154,-0.007124328,0.0
19000000,-0.009972512,-0.010260832,-0.007598205,0.0
19200000,-0.007844928,0.06391621,-0.0076321918,0.0
19400000,-0.0060471287,0.10794248,-0.0068910504,0.0
19600000,-0.004477499,0.12274414,-0.00590291,0.0
19800000,-0.0032237626,0.13906763,-0.005084219,0.0
20000000,-0.0024130114,0.16154619,-0.004427879,0.0
20200000,-0.0016949103,0.17734262,-0.0039091953,0.0
20400000,-0.001369615,0.18641594,-0.0034759175,0.0
20600000,-0.0012881991,0.19437689,-0.0031308096,0.0
20800000,-0.0010331399,0.2025894,-0.0028370933,0.0
21000000,-0.00084596843,0.20887238,-0.0026116485,0.0
21200000,-0.00079125736,0.21333686,-0.0023613365,0.0
21400000,-0.00072192407,0.21679936,-0.0021828623,0.0
21600000,-0.0006150445,0.21996501,-0.0020366577,0.0
21800000,-0.00044858616,0.22208609,-0.0018601723,0.0
21996000,-0.00039804683,0.22267754,-0.0017118324,0.0
22200000,-0.00018529515,0.22134091,-0.0015432896,0.0
22400000,-0.0002614475,0.22050525,-0.0015815547,0.0
22600000,-5.1028597e-05,0.22028594,-0.001301531,0.0
22800000,-9.769033e-06,0.22014116,-0.0010471195,0.0
23000000,0.00010906138,0.21976596,-0.0009150213,0.0
23200000,-0.00021800143,0.2205132,-0.00087581936,0.0
23400000,-0.00013192385,0.22247027,-0.0008348707,0.0
23600000,0.00060877996,0.21802811,-0.00081968383,0.0
23800000,-5.3234766e-05,0.22246006,-0.0008094959,0.0
24000000,6.508503e-05,0.22474377,-0.0007421066,0.0
24200000,0.00016344927,0.22197865,-0.00068946567,0.0
24400000,0.00025042958,0.21750103,-0.0006098853,0.0
24600000,0.0001530154,0.2162593,-0.00051070336,0.0
24800000,0.00034308032,0.21726084,-0.00046163733,0.0
25000000,0.00034237708,0.21765512,-0.00044934783,0.0
25200000,0.00033585643,0.2168945,-0.00045854878,0.0
25400000,0.00033180544,0.21642105,-0.0004407944,0.0
25600000,0.00028922685,0.21681766,-0.00037749036,0.0
25800000,0.000255218,0.21750796,-0.00031615753,0.0
26000000,0.0001998758,0.21781377,-0.00025316133,0.0
26200000,0.00014311772,0.21812643,-0.0001905785,0.0
26400000,0.00013999139,0.21857171,-0.00012550711,0.0
26600000,0.0001736104,0.21889798,-0.000115301926,0.0
26800000,-3.5943915e-05,0.18754447,-4.3603624e-05,0.0
27000000,3.0340516e-05,0.2239918,1.6183563e-05,0.0
27200000,0.00021317811,0.25472042,-1.8209166e-05,0.0
27400000,-1.3705212e-05,0.24641287,-5.0159153e-05,0.0
27600000,0.0010033661,0.21098444,-7.5817785e-05,0.0
27800000,0.0004471612,0.22247611,-7.3045994e-05,0.0
28000000,0.00041805947,0.23487596,-5.215183e-05,0.0
28200000,0.0005873976,0.2262921,-5.8106227e-05,0.0
28400000,0.00060629885,0.21743907,2.4192095e-05,0.0
28600000,0.00071316835,0.21682215,6.217557e-05,0.0
28800000,0.0006684659,0.21799654,8.224361e-05,0.0
29000000,0.00077221746,0.21687527,6.627538e-05,0.0
29200000,0.0006749574,0.21540676,6.5040505e-05,0.0
29400000,0.00071902614,0.21555284,5.03021e-05,0.0
29600000,0.00042337558,0.216638,3.166349e-05,0.0
29800000,0.00061072945,0.21723366,3.1552223e-05,0.0
30000000,0.0003727644,0.21761218,-3.2443577e-06,0.0
30200000,0.00051052036,0.21824563,-3.4132177e-06,0.0
30396000,0.00032683669,0.21885021,-2.0966734e-05,0.0
30600000,0.00037871063,0.21917354,-1.8795536e-05,0.0
30800000,0.00025361567,0.21958171,-1.6766198e-05,0.0
31000000,0.0003697299,0.21980079,-2.1071306e-05,0.0
31200000,0.00012862417,0.22000612,-1.6229074e-05,0.0
31400000,0.00018296331,0.22006492,-8.44752e-06,0.0
31596000,5.4395216e-05,0.22015035,-4.0404343e-06,0.0
31800000,0.00016628476,0.22019549,1.3372941e-05,0.0
32000000,5.387231e-06,0.22039236,1.565913e-05,0.0
32200000,0.00011964042,0.22035968,-3.874477e-06,0.0
32400000,5.766672e-05,0.22048877,-1.2097431e-05,0.0
32600000,0.00030076338,0.22040966,1.2340985e-05,0.0
32796000,4.6877478e-05,0.22022787,-1.8405177e-05,0.0
33000000,0.0003297419,0.22018638,-3.9748684e-05,0.0
33200000,0.00012522376,0.22030899,-2.914946e-05,0.0
33396000,0.000283684,0.22012818,-3.073108e-05,0.0
33600000,5.7569287e-05,0.21994673,-4.897874e-05,0.0
33800000,0.00023616532,0.21997209,-2.549065e-06,0.0
34000000,0.00010220678,0.22004189,2.2637987e-06,0.0
34200000,0.00030173664,0.21984762,-4.5339093e-06,0.0
34400000,0.0001927617,0.22006352,-1.668474e-05,0.0
34596000,0.0002809578,0.22021164,-3.492911e-05,0.0
34800000,-0.021995908,0.21923834,0.0004732135,0.0
35000000,0.0077145877,0.2188806,0.00073646667,0.0
35200000,0.007271203,0.21968336,-7.333404e-05,0.0
35400000,-0.000257752,0.22072065,9.475342e-05,0.0
35600000,-0.0021639469,0.22085568,0.0008885115,0.0
35800000,-0.0036001424,0.22073352,0.0017456859,0.0
36000000,-0.0049080676,0.22074719,0.0024681687,0.0
36200000,-0.0058523812,0.22100168,0.0030325975,0.0
36400000,-0.0059776315,0.22122452,0.0033929094,0.0
36596000,-0.0056928056,0.22184618,0.003586667,0.0
36800000,-0.005389364,0.22203612,0.0036205843,0.0
37000000,-0.004951344,0.2220928,0.0035655377,0.0
37196000,-0.0043094787,0.22239608,0.0033843669,0.0
37400000,-0.0036967862,0.22305915,0.00317542,0.0
37600000,-0.002960029,0.22135878,0.0028950693,0.0
37796000,-0.0024996998,0.21917541,0.0026490754,0.0
38000000,-0.0018706254,0.21853329,0.0023537804,0.0
38200000,-0.0013229174,0.21928583,0.0020764135,0.0
38400000,-0.0008638549,0.21946363,0.0017785793,0.0
38600000,-0.00048321718,0.21913064,0.0015359905,0.0
38800000,-0.0001679252,0.21898426,0.0012910852,0.0
38996000,-5.6615965e-05,0.21899039,0.001095759,0.0
39200000,0.00031131195,0.21916212,0.00092927617,0.0
39400000,0.00037807354,0.2195312,0.00081916293,0.0
39600000,0.00057310157,0.2194938,0.0006879859,0.0
39800000,0.000539054,0.21962409,0.0005683965,0.0
40000000,0.0005122297,0.21963406,0.00048031405,0.0
40196000,0.00045393183,0.21966894,0.00041682957,0.0
40400000,0.00046555308,0.21989115,0.00036984807,0.0
40600000,0.00032396105,0.2200174,0.00030540643,0.0
40800000,0.00026461357,0.21984358,0.00027735977,0.0
41000000,0.0001956422,0.21961285,0.00025479714,0.0
41200000,0.00013076921,0.2198035,0.00025987797,0.0
41396000,9.107548e-05,0.22003281,0.00023570635,0.0
41600000,4.707814e-05,0.22026461,0.00024201119,0.0
41800000,6.2556154e-07,0.22029771,0.00022600585,0.0
42000000,-2.4108331e-08,0.22029918,0.00024976535,0.0
42200000,-2.3050632e-05,0.22023949,0.00022196132,0.0
42400000,-5.1066312e-05,0.2202543,0.00021954786,0.0
42600000,1.1859579e-05,0.2203421,0.00021009443,0.0
42800000,7.632759e-05,0.2571581,0.00026343839,0.0
43000000,6.841668e-05,0.23062651,0.00024878912,0.0
43200000,-0.00013179064,0.20097004,0.00020178895,0.0
43400000,-0.00039940552,0.21785697,0.00020412284,0.0
43600000,-0.00062008086,0.23578832,0.00015795107,0.0
43800000,-0.00062500476,0.23263317,0.0001534699,0.0
44000000,-0.0006459152,0.2277892,0.0001367469,0.0
44200000,-0.0007101075,0.2297812,0.00011016793,0.0
44400000,-0.0007888955,0.23192908,8.6934095e-05,0.0
44600000,-0.0006275594,0.23027994,0.000116418516,0.0
44800000,-0.0006511979,0.22825275,0.00010269772,0.0
44996000,-0.00052957766,0.22764152,8.0633145e-05,0.0
45200000,-0.00046634983,0.22743383,8.1059436e-05,0.0
45400000,-0.0003794904,0.22614625,6.512555e-05,0.0
45600000,-0.0002520812,0.22460599,7.8991485e-05,0.0
45800000,-0.0001469653,0.22335246,7.1202296e-05,0.0
46000000,-7.7195116e-05,0.22269826,5.801588e-05,0.0
46200000,-7.888052e-06,0.22187898,7.993782e-05,0.0
46400000,8.790994e-05,0.22122462,6.4853244e-05,0.0
46600000,2.1886579e-05,0.2205836,7.577595e-05,0.0
46800000,0.00019900633,0.22028463,4.559259e-05,0.0
47000000,0.00019527852,0.2199706,4.7660567e-05,0.0
47200000,0.00019004356,0.219503,3.295778e-05,0.0
47400000,0.00020169723,0.21909325,1.2573285e-05,0.0
47600000,0.00023084361,0.21921584,-1.4540584e-05,0.0
47800000,0.00023816148,0.21926859,-2.0801835e-05,0.0
48000000,0.00033640314,0.21935529,-5.8704954e-05,0.0
48200000,0.00031857117,0.21910825,-5.501812e-05,0.0
48400000,0.00041709485,0.21916652,-4.1275198e-05,0.0
48600000,0.0002549963,0.21954337,-3.1515647e-05,0.0
48800000,0.00027139293,0.21977979,-7.8634264e-05,0.0
49000000,0.0002596386,0.21959285,-8.369861e-05,0.0
49200000,0.00036407437,0.21960817,-0.00010164501,0.0
49400000,0.00021921431,0.21989721,-0.00010537729,0.0
49600000,0.00040463472,0.22006425,-0.00012027072,0.0
49800000,0.00026968677,0.21973355,-0.00010193299,0.0
50000000,0.00035291468,0.21991038,-0.00010234365,0.0
50200000,0.00022256207,0.21991561,-8.299103e-05,0.0
50400000,0.00026935054,0.21994303,-6.046215e-05,0.0
50600000,9.8763805e-05,0.21972999,-7.4146985e-05,0.0
50800000,0.022525923,0.21904539,-0.0006128788,0.0
51000000,-0.007226017,0.21913156,-0.00092438515,0.0
51200000,-0.0067815264,0.2200516,-0.00012944396,0.0
51400000,0.00058959227,0.22168387,-0.00028133535,0.0
51600000,0.0028027073,0.22222805,-0.0009969088,0.0
51800000,0.004111127,0.22225098,-0.0018149659,0.0
52000000,0.005438083,0.22250757,-0.0025414557,0.0
52200000,0.0060009114,0.22277732,-0.0030698115,0.0
52400000,0.00642126,0.22302863,-0.0034340296,0.0
52600000,0.0063133785,0.22321887,-0.0036051956,0.0
52800000,0.0058311434,0.22349879,-0.0036585366,0.0
53000000,0.0052468185,0.22373481,-0.0035885721,0.0
53200000,0.004720104,0.22409625,-0.0034252375,0.0
53400000,0.0039217267,0.22407304,-0.0031855672,0.0
53600000,0.003406183,0.22411685,-0.0028876846,0.0
53800000,0.0026105915,0.22254805,-0.0025790925,0.0
54000000,0.0021583333,0.22019415,-0.0022985812,0.0
54200000,0.001505713,0.21945462,-0.0020013084,0.0
54400000,0.0012182296,0.2198472,-0.0017227583,0.0
54600000,0.000726728,0.21980579,-0.0014638718,0.0
54800000,0.00053112535,0.21929696,-0.0012622274,0.0
55000000,0.00020380536,0.21923316,-0.0010929313,0.0
55200000,0.00011970827,0.2192885,-0.00089855003,0.0
55400000,-0.000121614205,0.21912564,-0.00075696415,0.0
55600000,-4.0484352e-05,0.21918373,-0.0006104055,0.0
55800000,-0.0003302957,0.21946956,-0.00051957765,0.0
56000000,-6.610665e-05,0.21949181,-0.00041810636,0.0
56200000,-0.00014697127,0.21930756,-0.0003626468,0.0
56400000,1.4127405e-05,0.21913412,-0.00035750557,0.0
56596000,-0.00016824003,0.21969868,-0.0003299902,0.0
56800000,0.00011840695,0.2196686,-0.0002951262,0.0
57000000,0.00010343679,0.21951558,-0.0002614361,0.0
57200000,0.00018489468,0.21961462,-0.00023841132,0.0
57400000,6.521395e-05,0.21958978,-0.00020630949,0.0
57600000,0.00022635216,0.21971984,-0.00016166568,0.0
57800000,0.00012434048,0.21981144,-0.00014276213,0.0
58000000,0.00031500115,0.21976022,-0.00018058076,0.0
58200000,6.460468e-05,0.21974246,-0.0001599582,0.0
58400000,0.00029654935,0.21984369,-0.0001511347,0.0
58600000,0.00016934193,0.21993329,-0.0001186632,0.0
58796000,-0.018043013,0.18761317,-0.0006316882,0.0
59000000,0.010175464,0.22347237,0.002170164,0.0
59200000,0.026995445,0.2698495,0.0046410463,0.0
59400000,0.0042732414,0.24400924,0.0070883427,0.0
59596000,-0.0017811337,0.21165612,0.009082935,0.0
59800000,-0.00044026168,0.21682037,0.009177713,0.0
60000000,-0.0010184847,0.22528976,0.008240531,0.0
60200000,-0.0016565762,0.22360039,0.007223643,0.0
60400000,-0.0019628895,0.22076268,0.0064856033,0.0
60600000,-0.002021449,0.2208135,0.0060494137,0.0
60800000,-0.002005948,0.2212918,0.0057721045,0.0
61000000,-0.0019243767,0.2211265,0.0055333325,0.0
61200000,-0.0018893817,0.22095345,0.005312118,0.0
61400000,-0.0018598656,0.22100544,0.0050573708,0.0
61600000,-0.001782027,0.22118132,0.0048399745,0.0
61796000,-0.0017462547,0.22130837,0.0046200175,0.0
62000000,-0.0017096313,0.22146812,0.004363457,0.0
62196000,-0.0015625801,0.22159697,0.0041395496,0.0
62400000,-0.0015317844,0.22172083,0.0039507174,0.0
62600000,-0.0014412841,0.22186409,0.0037694375,0.0
62800000,-0.0013682451,0.22202082,0.0035484363,0.0
63000000,-0.0012763072,0.22212672,0.0033568766,0.0
63200000,-0.001218219,0.22224054,0.0031892902,0.0
63400000,-0.0011037175,0.22245285,0.0030568605,0.0
63600000,-0.0010285772,0.22250603,0.0028813696,0.0
63800000,0.0007479455,0.22556321,0.0026555434,0.0
64000000,0.0026001844,0.22753417,0.0025327157,0.0
64200000,-0.00101414,0.22083402,0.002639118,0.0
64400000,-0.0013013675,0.21870242,0.0027354667,0.0
64600000,-0.0005010863,0.22290196,0.0025604237,0.0
64800000,-0.00013483172,0.22485591,0.0021718154,0.0
65000000,0.00018472788,0.22145183,0.0017438091,0.0
65200000,0.0003491939,0.21878439,0.0013243447,0.0
65400000,0.00053901976,0.21928155,0.0009708203,0.0
65600000,0.00066556735,0.22081,0.0007200289,0.0
65800000,0.0007039768,0.22062193,0.0005395207,0.0
66000000,0.00086017116,0.22005814,0.00042228567,0.0
66200000,0.0007135154,0.21969908,0.0003264446,0.0
66400000,0.000943587,0.21990012,0.00025601027,0.0
66600000,0.0007728997,0.22002506,0.00018852776,0.0
66800000,0.024215287,0.25417152,-0.0015057017,0.0
67000000,-0.0024059124,0.22104181,0.0007934413,0.0
67200000,0.003220983,0.21806179,0.0020059058,0.0
67400000,-0.0007664331,0.21930231,0.0022266072,0.0
67600000,0.0019437181,0.2233529,0.0019629793,0.0
67800000,0.006506304,0.23074359,0.0011087551,0.0
68000000,0.006197337,0.23338622,2.7352266e-05,0.0
68200000,0.005205445,0.23090209,-0.0007739086,0.0
68400000,0.0047384547,0.2296184,-0.0013169664,0.0
68600000,0.0043365704,0.22976054,-0.0016406336,0.0
68800000,0.0040319236,0.22986975,-0.0018410231,0.0
69000000,0.0035850187,0.22940832,-0.0020089974,0.0
69200000,0.0014047183,0.22323702,-0.0019684266,0.0
69400000,0.003923878,0.23063323,-0.0019678925,0.0
69600000,0.0035015524,0.23308259,-0.0020156163,0.0
69800000,0.0028692728,0.22952914,-0.0019574482,0.0
70000000,0.00267716,0.22748788,-0.0018603329,0.0
70200000,0.0021136084,0.22768883,-0.0017297495,0.0
70400000,0.0018073136,0.22581667,-0.001555886,0.0
70600000,0.0012964421,0.22218588,-0.0013930023,0.0
70800000,0.0011537449,0.22024496,-0.0012055432,0.0
71000000,0.00077763665,0.22024214,-0.0010447253,0.0
71200000,0.0006523419,0.22004317,-0.0008925836,0.0
71400000,0.00042941544,0.21916042,-0.0007744222,0.0
71600000,0.00010142397,0.2184265,-0.00067841634,0.0
71800000,1.5580392e-05,0.21845195,-0.0005727706,0.0
72000000,2.5474515e-05,0.21884027,-0.00050626043,0.0
72200000,-3.5163669e-06,0.21902624,-0.00043452464,0.0
72400000,6.939521e-05,0.21910845,-0.00038211507,0.0
72600000,2.305557e-06,0.21914005,-0.0003473487,0.0
72800000,5.7148143e-05,0.21918829,-0.0003168477,0.0
73000000,9.745674e-05,0.21933907,-0.0003023265,0.0
73200000,0.00012034485,0.21963589,-0.0002908202,0.0
73396000,0.00020807095,0.21991338,-0.00025695894,0.0
73600000,0.00014274227,0.22014154,-0.00026750806,0.0
73800000,0.00028029337,0.22010823,-0.00021426144,0.0
74000000,0.0003231223,0.22017443,-0.00019910012,0.0
74200000,0.00017861606,0.22031078,-0.00018076973,0.0
74400000,0.0002742509,0.22017059,-0.00017947165,0.0
74600000,0.00030912104,0.22019131,-0.00017087253,0.0
74800000,0.00020277014,0.2203518,-0.00017307808,0.0
75000000,0.00027071542,0.22037177,-0.00019989167,0.0
75200000,0.00028726968,0.22020535,-0.00020317185,0.0
75396000,0.00019265623,0.22025497,-0.00017801546,0.0
75600000,0.00026954172,0.22032996,-0.00016461253,0.0
75800000,9.18737e-05,0.21932955,-0.0005481725,0.0
76000000,0.0005069467,0.21684068,-9.663906e-05,0.0
76200000,0.00041939452,0.21072897,6.034781e-05,0.0
76400000,0.00019268818,0.20939969,7.863767e-05,0.0
76600000,0.0002640662,0.21666692,3.770835e-05,0.0
76800000,0.00013759358,0.22026852,-2.1584254e-05,0.0
77000000,5.6558252e-05,0.21914208,-8.784263e-05,0.0
77200000,0.0001856809,0.21946369,-6.748847e-05,0.0
77400000,0.00031997776,0.221515,-6.15936e-05,0.0
77600000,0.00011043168,0.22247237,-6.480706e-05,0.0
77800000,0.00019732614,0.22243017,-6.353969e-05,0.0
78000000,0.0001619637,0.2229153,-4.3410088e-05,0.0
78200000,-0.0005312662,0.21404113,-5.2298325e-05,0.0
78400000,0.00093187566,0.21289851,-0.0002984205,0.0
78600000,-0.003332556,0.19374773,-0.0005747308,0.0
78800000,-0.005080616,0.18339244,-0.0006911325,0.0
79000000,-0.006578893,0.17302237,-0.0008023201,0.0
79196000,-0.007551029,0.16432679,-0.00095251424,0.0
79400000,-0.008136355,0.15799516,-0.0010778204,0.0
79600000,-0.008412227,0.15710074,-0.0010452386,0.0
79800000,-0.008514946,0.1567672,-0.0010313711,0.0
80000000,-0.008514946,0.1567672,-0.0010313711,0.0
80200000,-0.008514946,0.1567672,-0.0010313711,0.0
80396000,-0.008514946,0.1567672,-0.0010313711,0.0
80600000,-0.008514946,0.1567672,-0.0010313711,0.0
80800000,-0.008514946,0.1567672,-0.0010313711,0.0
81000000,-0.008514946,0.1567672,-0.0010313711,0.0
81200000,-0.008514946,0.1567672,-0.0010313711,0.0
81400000,-0.008514946,0.1567672,-0.0010313711,0.0
81600000,-0.008514946,0.1567672,-0.0010313711,0.0
81800000,-0.008514946,0.1567672,-0.0010313711,0.0
82000000,-0.008514946,0.1567672,-0.0010313711,0.0
82200000,0.0,0.0,0.0,0.0
82400000,0.0,0.0,0.0,0.0
82600000,0.0,0.0,0.0,0.0
82800000,0.0,0.0,0.0,0.0
83000000,0.0,0.0,0.0,0.0
