timestamp,mag_inconsistency_angle
496000,6.374747e-09
992000,8.772791e-09
1496000,8.153082e-09
1992000,8.434536e-09
2496000,7.618015e-09
2992000,8.481659e-09
3500000,9.932926e-09
3992000,8.595374e-09
4488000,7.1132757e-09
4996000,7.867828e-09
5488000,8.720816e-09
5996000,7.983109e-09
6500000,8.643868e-09
6996000,8.04719e-09
7492000,8.60959e-09
7996000,7.763978e-09
8492000,7.979819e-09
9000000,8.513815e-09
9492000,7.454644e-09
10000000,6.6645225e-05
10496000,6.633571e-06
10988000,2.8365239e-05
11496000,2.68783e-06
12000000,2.625296e-07
12496000,3.2731204e-08
12992000,1.1052169e-08
13496000,9.144487e-09
13992000,7.8520195e-09
14488000,8.919896e-09
14620000,9.6274375e-09
81972000,9.591053e-09
81984000,9.822209e-09
82468000,8.163392e-09
