timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
6608000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
27632000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
32620000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32672000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32672000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32732000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32772000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32832000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32872000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32932000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
32972000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
33032000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
33072000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
33132000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
33172000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
33176000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
33232000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
33280000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
33332000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
33380000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
33432000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
33480000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
33532000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
33580000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
33632000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
33680000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
33732000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
33780000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
33832000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
33880000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
33932000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
33980000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
34032000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
34080000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
34132000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
34184000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
34240000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
34292000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
34340000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
34392000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
34440000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
34492000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
34540000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
34592000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
