timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,valid_lpos,manual_home
1212000,0.0,0.0,488.04495,0.0,0.0,0.0,0.0,1,0,0,0
6612000,47.397741962579374,8.545593751255714,488.0274,0.006958509,-0.011195744,0.017554956,1.5671,1,1,1,0
14604000,47.397741902726594,8.545593953205435,488.00967,0.00030318307,0.004004688,0.035264347,1.5765277,1,1,1,0
16320000,47.39774192918494,8.54559391342125,487.9839,0.0032452175,0.001010196,0.061058257,1.5783905,1,1,1,0
23136000,47.39774192918494,8.54559391342125,487.9839,0.0032452175,0.001010196,0.061058257,1.6393569,1,1,1,0
29040000,47.39774192918494,8.54559391342125,487.9839,0.0032452175,0.001010196,0.061058257,1.6385683,1,1,1,0
60876000,47.39774192918494,8.54559391342125,487.9839,0.0032452175,0.001010196,0.061058257,1.6393161,1,1,1,0
60888000,47.39774192918494,8.54559391342125,487.9839,0.0032452175,0.001010196,0.061058257,1.6659999,1,1,1,0
61020000,47.39774192918494,8.54559391342125,487.9839,0.0032452175,0.001010196,0.061058257,1.6648178,1,1,1,0
71412000,47.39774192918494,8.54559391342125,487.9839,0.0032452175,0.001010196,0.061058257,1.6659942,1,1,1,0
77028000,47.39774192918494,8.54559391342125,487.9839,0.0032452175,0.001010196,0.061058257,1.6899737,1,1,1,0
77412000,47.39774192918494,8.54559391342125,487.9839,0.0032452175,0.001010196,0.061058257,1.6631296,1,1,1,0
