timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
34000000,34000000,0.7082784,0.002478292,-0.0026124083,0.7059241,-0.019445302,0.31070873,-0.030752325,0.22432241,2.0801208,-2.6673725,2.2093254e-06,1.9151796e-06,-5.286565e-06,2.1396403e-05,-0.00022641983,0.00089176046,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,3.5877343e-05,3.1593932e-05,3.1597327e-05,3.6023066e-05,0.01992214,0.019912599,0.014964986,0.11729205,0.11728887,0.212573,7.324602e-11,7.320137e-11,3.360262e-10,4.9551625e-07,4.951178e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
34992000,34992000,0.7086041,-0.021087656,-0.01539135,0.7051232,0.017915227,0.29252,0.11093134,0.24370249,2.3536572,-2.7019858,2.7950523e-06,1.513374e-06,-4.3530226e-06,-3.6098184e-06,-0.00026301813,0.00089676905,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,3.5639805e-05,2.9827166e-05,2.9824654e-05,3.579977e-05,0.022210829,0.022200475,0.015581467,0.12923668,0.12923168,0.21901976,6.500262e-11,6.497076e-11,3.195637e-10,4.590898e-07,4.5867205e-07,5.000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
35992000,35992000,0.70727074,-0.0037676052,-0.011306463,0.70684236,0.4006875,0.025404993,0.36339888,0.5626614,2.4256248,-2.5137928,3.4773816e-06,1.330216e-06,-3.2207552e-06,-1.4477239e-05,-0.00030409326,0.00090108946,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,3.5704805e-05,2.570476e-05,2.5698499e-05,3.5444395e-05,0.019075833,0.01907489,0.014999193,0.11693258,0.11692848,0.21460442,5.4344647e-11,5.4317037e-11,3.0173422e-10,4.163966e-07,4.1593944e-07,5.000027e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
36992000,36992000,0.70956206,0.00070451485,-0.0054277526,0.70462173,0.35011968,0.021000681,0.15788913,0.9738131,2.4218743,-2.2984502,3.706072e-06,1.4320951e-06,-2.367977e-06,-8.349515e-06,-0.00031748842,0.00090780045,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,3.5565583e-05,2.4346467e-05,2.4373907e-05,3.5676752e-05,0.021800606,0.021797517,0.015536797,0.12954417,0.12953866,0.21804501,4.8805664e-11,4.8778342e-11,2.8393612e-10,3.9384557e-07,3.933778e-07,5.000027e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
38000000,38000000,0.7097824,-0.007707147,-0.006582253,0.70434815,0.37267256,-0.04347008,-0.0048394366,1.3438085,2.4115882,-2.2979636,3.699905e-06,1.658376e-06,-1.5549219e-06,4.7578064e-06,-0.00031691283,0.0009104582,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,3.5689965e-05,2.106037e-05,2.1082536e-05,3.579148e-05,0.018996054,0.018996801,0.015016058,0.11769462,0.1176919,0.21445544,4.1522445e-11,4.1495272e-11,2.660564e-10,3.6596893e-07,3.6550816e-07,5.000027e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
39000000,39000000,0.710353,-0.0033050072,-0.0024899188,0.7038334,0.33145052,-0.00394058,-0.07878971,1.7096596,2.3729851,-2.3857498,3.6862866e-06,1.7753504e-06,-7.2332733e-07,1.1344944e-05,-0.00031598637,0.0009117619,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,3.567501e-05,1.8550942e-05,1.8582452e-05,3.581924e-05,0.01627597,0.016279113,0.014444182,0.1070355,0.10703387,0.21022318,3.6158514e-11,3.613508e-11,2.4829033e-10,3.462095e-07,3.457524e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
40000000,40000000,0.7112015,-0.0049109813,-0.0011244955,0.70297027,0.30570555,0.004718413,-0.03196144,2.0339775,2.3681252,-2.4590502,3.7117034e-06,1.878722e-06,-1.5638787e-07,1.6842327e-05,-0.0003173912,0.00091631676,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,3.544067e-05,1.7988621e-05,1.80172e-05,3.572884e-05,0.01785372,0.01785786,0.014986105,0.11766091,0.117660515,0.2134921,3.3779403e-11,3.3761518e-11,2.3067609e-10,3.3675812e-07,3.362974e-07,5.0000093e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
40992000,40992000,0.71114933,-0.007718144,-0.0037829059,0.7029885,0.2861734,-0.0026688676,-0.02398949,2.3333566,2.3564253,-2.4913378,3.706963e-06,1.8269682e-06,7.181075e-08,1.4318361e-05,-0.00031716053,0.0009175653,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,3.5274417e-05,1.755196e-05,1.757896e-05,3.556837e-05,0.019465918,0.019470362,0.015609552,0.12920845,0.12920986,0.2199643,3.1887906e-11,3.1875228e-11,2.1423766e-10,3.293446e-07,3.2887596e-07,5.000054e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
42000000,42000000,0.71115506,-0.00032795503,0.0005827532,0.7030349,0.29138014,-0.0035241465,0.053007357,2.6484342,2.3295848,-2.4910018,3.867891e-06,1.6642304e-06,3.79474e-07,6.724524e-06,-0.00032443454,0.0009132251,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,3.5137546e-05,1.6223206e-05,1.6251184e-05,3.5425972e-05,0.016985012,0.016986093,0.014956026,0.11740442,0.11740544,0.2125507,2.927489e-11,2.9268428e-11,1.9869574e-10,3.2097603e-07,3.20494e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
43000000,43000000,0.71127635,0.005804193,0.02252317,0.70252764,0.21897775,-0.040515568,0.2678389,2.9248114,2.3077955,-2.383939,4.028792e-06,1.6936153e-06,8.369183e-07,8.240383e-06,-0.00033090997,0.0009048564,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,3.4750443e-05,1.5260699e-05,1.5252737e-05,3.5078992e-05,0.014726034,0.014730008,0.01450588,0.10688421,0.10688474,0.2120244,2.7302464e-11,2.7301477e-11,1.8379424e-10,3.1520375e-07,3.1470594e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
43992000,43992000,0.7108617,-0.004362031,0.0040626545,0.7033066,0.019732168,-0.24411668,0.00025473486,3.0154502,2.0685341,-2.3337915,4.101573e-06,1.6567352e-06,1.0343745e-06,6.734763e-06,-0.0003337715,0.0009016439,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,3.4541255e-05,1.5145379e-05,1.5171478e-05,3.4772565e-05,0.016472187,0.016487706,0.014994598,0.11649573,0.11649852,0.2145432,2.6497918e-11,2.6498647e-11,1.7055694e-10,3.1184604e-07,3.1135207e-07,5.000027e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
45000000,45000000,0.71070534,-0.00953531,0.0097041745,0.70335823,-0.06497693,-0.40061465,0.15903367,3.0109444,1.6746973,-2.262672,4.2543393e-06,1.5716291e-06,1.3256961e-06,3.5397225e-06,-0.0003395997,0.0008983881,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,3.4112516e-05,1.4397484e-05,1.4422785e-05,3.4331293e-05,0.014499767,0.01450794,0.014468372,0.10666655,0.10666845,0.2110802,2.514792e-11,2.5150527e-11,1.5778343e-10,3.080001e-07,3.0752923e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
46000000,46000000,0.7112046,-0.0071572596,0.004597569,0.7029336,-0.09279426,-0.43786865,0.104874745,2.931961,1.2169247,-2.1345088,4.340837e-06,1.5127124e-06,1.6908273e-06,1.4593227e-06,-0.00034252094,0.0008945765,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,3.366512e-05,1.4448577e-05,1.4466692e-05,3.3963817e-05,0.016180556,0.016184548,0.0150126815,0.116788216,0.11679227,0.21437567,2.4708197e-11,2.471108e-11,1.4637337e-10,3.058524e-07,3.054077e-07,5.000027e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
47000000,47000000,0.7107847,-0.000635583,0.018969323,0.70315355,-0.14751798,-0.46066356,0.16110592,2.848117,0.76537955,-2.0364726,4.418199e-06,1.3586923e-06,1.925167e-06,-4.0414684e-06,-0.00034515158,0.0008933105,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,3.316653e-05,1.3836226e-05,1.3845036e-05,3.3401942e-05,0.014302067,0.014302812,0.0144426795,0.106498495,0.10650056,0.21015555,2.3725962e-11,2.372938e-11,1.357111e-10,3.0324748e-07,3.0284798e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
48000000,48000000,0.70905954,-0.012360166,-0.00010513512,0.70504034,-0.08829037,-0.3596095,0.088736065,2.704107,0.32900202,-1.8744869,4.3721475e-06,1.2350414e-06,2.1096103e-06,-8.130741e-06,-0.00034353865,0.00089142856,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,3.283685e-05,1.396582e-05,1.3983753e-05,3.2760552e-05,0.016029939,0.016022906,0.01498587,0.1165858,0.11658767,0.21343265,2.3498465e-11,2.3501456e-11,1.2622835e-10,3.018383e-07,3.0147e-07,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
48992000,48992000,0.7059745,-0.0013038376,0.005435268,0.7082152,-0.045686573,-0.32497352,-0.081417345,2.626909,-0.03328152,-1.8672602,4.2873717e-06,1.1155875e-06,2.3054345e-06,-1.2386709e-05,-0.00034062,0.0008928456,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,3.259969e-05,1.403661e-05,1.4045842e-05,3.195343e-05,0.017830444,0.017824287,0.0156093,0.12766154,0.12766054,0.2198984,2.32974e-11,2.3298667e-11,1.1757702e-10,3.0046172e-07,3.0012274e-07,5.000054e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
49992000,49992000,0.7026593,-0.014497885,0.0061475565,0.7113523,-0.03459353,-0.29079384,-0.1657464,2.550247,-0.3608524,-1.9824766,4.1380104e-06,9.326469e-07,2.4401766e-06,-1.8791552e-05,-0.0003360092,0.0008927505,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,3.234974e-05,1.3484155e-05,1.3508287e-05,3.115621e-05,0.015885929,0.015882662,0.015034351,0.11594453,0.11594336,0.2154438,2.2594928e-11,2.2593786e-11,1.0972686e-10,2.9858464e-07,2.982783e-07,5.0000452e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
50992000,50992000,0.70200765,0.009795471,0.0117510995,0.71200514,-0.052292816,-0.23461528,-0.10644939,2.5041873,-0.68067026,-2.0971093,3.9956562e-06,8.137682e-07,2.561919e-06,-2.2839697e-05,-0.0003320862,0.0008907564,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,3.189175e-05,1.360357e-05,1.3603717e-05,3.061542e-05,0.017548742,0.017540775,0.01557498,0.12748547,0.1274826,0.21891105,2.2522905e-11,2.2520116e-11,1.02621134e-10,2.9755307e-07,2.972607e-07,5.000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
52000000,52000000,0.6980973,-0.010223092,0.0053324327,0.71591014,-0.35050094,-0.010866505,0.1260963,2.2047787,-0.8014135,-2.019127,3.820553e-06,6.4948233e-07,2.8914233e-06,-2.8297407e-05,-0.000327732,0.00089292496,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,3.163368e-05,1.3231495e-05,1.3255497e-05,2.9693429e-05,0.015643895,0.0156259,0.015045807,0.11632856,0.11632455,0.2152859,2.2023106e-11,2.2019256e-11,9.600628e-11,2.9644193e-07,2.9614867e-07,5.000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
53000000,53000000,0.6968848,-0.007163331,0.006477859,0.7171181,-0.36319932,0.026441354,0.07671507,1.786438,-0.7976005,-1.8648138,3.6283834e-06,5.433541e-07,3.008381e-06,-3.207916e-05,-0.00032356192,0.0008943747,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,3.120026e-05,1.2874406e-05,1.28987895e-05,2.9103849e-05,0.0140526425,0.014046097,0.01447211,0.10620974,0.10620631,0.21104296,2.1560313e-11,2.155524e-11,9.018596e-11,2.9552066e-07,2.9520527e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
53992000,53992000,0.6979429,-0.011700761,0.00931284,0.71599734,-0.3887608,0.07651864,0.06548917,1.356601,-0.75470066,-1.8126041,3.3838633e-06,4.791874e-07,3.2325802e-06,-3.55433e-05,-0.00031750192,0.0009001103,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,3.0557967e-05,1.3032947e-05,1.3068476e-05,2.8682412e-05,0.015597413,0.015595302,0.014966489,0.11567433,0.1156696,0.21354654,2.1586857e-11,2.158139e-11,8.4926184e-11,2.949198e-07,2.9457306e-07,5.0000178e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
54992000,54992000,0.7016394,-0.0039755767,-0.009837258,0.7124533,-0.44484964,0.19041157,0.09618213,0.9449062,-0.6969884,-1.8818907,3.2372752e-06,4.4732957e-07,3.312877e-06,-3.727803e-05,-0.00031352462,0.00090616284,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,2.9775149e-05,1.3158766e-05,1.3184564e-05,2.851743e-05,0.017279051,0.017275486,0.015501581,0.12715124,0.12714638,0.21692851,2.1621972e-11,2.1616963e-11,8.017541e-11,2.942794e-07,2.9389093e-07,5.0000093e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
56000000,56000000,0.7039529,0.0025771079,8.469546e-05,0.710242,-0.35054496,0.11764953,-0.01803087,0.51803744,-0.63984364,-2.0030963,2.935702e-06,4.3668481e-07,3.444735e-06,-3.873756e-05,-0.00030569488,0.00091658084,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,2.9046905e-05,1.2787729e-05,1.2803635e-05,2.820503e-05,0.015627066,0.015633762,0.014982064,0.11619037,0.11618918,0.21337199,2.1237047e-11,2.1232602e-11,7.57611e-11,2.935406e-07,2.9309874e-07,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
56992000,56992000,0.7063247,0.00910223,-0.0027804861,0.70782405,-0.31964204,0.07262267,-0.043651216,0.14669223,-0.6173047,-2.1372125,2.6971543e-06,4.3772013e-07,3.4911488e-06,-3.9070954e-05,-0.0002997147,0.0009253428,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,2.8409657e-05,1.2927342e-05,1.29411255e-05,2.7981576e-05,0.017257458,0.017265782,0.01560537,0.12710515,0.12710683,0.21983793,2.1311633e-11,2.130825e-11,7.194922e-11,2.9310897e-07,2.9262944e-07,5.0000452e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
57992000,57992000,0.70962375,0.0006935248,-0.014229189,0.7044368,-0.27707967,0.08782363,0.08554273,-0.23202957,-0.5767361,-2.2195475,2.3129844e-06,4.4880932e-07,3.8058274e-06,-3.8144684e-05,-0.00029075847,0.00094246666,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,2.7686227e-05,1.2614874e-05,1.2627691e-05,2.7759483e-05,0.01536903,0.015378164,0.015032022,0.11559326,0.115594834,0.21539238,2.0980764e-11,2.0978485e-11,6.8400854e-11,2.9264476e-07,2.9211853e-07,5.000045e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
58992000,58992000,0.7149779,-0.024800561,-0.044211753,0.69730693,-0.14787057,0.089685395,0.10956839,-0.47558746,-0.4556141,-2.1099508,2.1102371e-06,4.5256857e-07,4.0127675e-06,-3.6863472e-05,-0.0002861007,0.00095833524,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,2.6683038e-05,1.2895574e-05,1.2883112e-05,2.767777e-05,0.017165339,0.017179463,0.015571463,0.12696299,0.12696835,0.21885052,2.1116922e-11,2.1115505e-11,6.5102625e-11,2.9243432e-07,2.9187422e-07,5.0000363e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
60000000,60000000,0.71770984,-0.0025579454,0.004225996,0.6963248,0.06286699,0.16661523,0.3501604,-0.43785965,-0.1663259,-1.6620934,1.9491117e-06,4.4285483e-07,3.876263e-06,-3.5094727e-05,-0.0002828611,0.0009763675,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,2.6125612e-05,1.266561e-05,1.2661004e-05,2.7465629e-05,0.015495591,0.015510292,0.015029839,0.11598214,0.11598883,0.21520996,2.0856181e-11,2.085747e-11,6.2182315e-11,2.9214465e-07,2.9155325e-07,5.000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
61000000,61000000,0.71341383,-0.0059315213,-0.018054377,0.7004853,0.06220425,0.12770236,0.11445431,-0.4034617,0.0006594708,-1.3947389,1.9138336e-06,4.047865e-07,3.8982066e-06,-3.4596724e-05,-0.00028142176,0.0009901643,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,2.5969623e-05,1.2337941e-05,1.234154e-05,2.6674299e-05,0.01408136,0.0140806995,0.0144601315,0.10600708,0.10601122,0.21095923,2.05439e-11,2.0547102e-11,5.9476535e-11,2.9167472e-07,2.9108347e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
62000000,62000000,0.7099195,0.0015331641,-0.010728887,0.7041995,0.18991134,0.20442587,-0.16936618,-0.24927038,0.20665598,-1.3794987,1.9990086e-06,4.1475894e-07,3.926623e-06,-3.4944387e-05,-0.00028297427,0.000995151,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,2.5829995e-05,1.24614035e-05,1.24635235e-05,2.6022626e-05,0.015885366,0.015886005,0.01500595,0.116048194,0.11605295,0.21425027,2.066089e-11,2.0664618e-11,5.710532e-11,2.91291e-07,2.907057e-07,5.000018e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
63000000,63000000,0.70849764,0.0032384638,-0.008659955,0.7056526,0.21232395,0.2143782,-0.12353422,-0.023312207,0.4496005,-1.5510056,2.147247e-06,4.968437e-07,3.8780263e-06,-3.427035e-05,-0.00028616103,0.0009994336,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,2.5540236e-05,1.2080152e-05,1.2081467e-05,2.5549974e-05,0.014045949,0.014044705,0.014438191,0.1060895,0.106092185,0.21003777,2.0359403e-11,2.0362866e-11,5.4951575e-11,2.9077165e-07,2.9020194e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
64000000,64000000,0.7082142,0.0020001426,-0.00492971,0.7059776,0.24033415,0.2520767,-0.07229058,0.21889369,0.70637435,-1.6659378,2.2367474e-06,5.588245e-07,3.7753098e-06,-3.3643882e-05,-0.00028778324,0.0010012481,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,2.5126968e-05,1.2244434e-05,1.2242063e-05,2.511977e-05,0.015567084,0.015567625,0.0149815595,0.116098404,0.11609954,0.21330097,2.0518523e-11,2.0520944e-11,5.29317e-11,2.9054937e-07,2.8998954e-07,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
65000000,65000000,0.7119021,0.0033003397,-0.013746329,0.7021365,0.34628338,0.33261573,-0.009377899,0.52221984,1.0131007,-1.7241609,2.3860368e-06,6.8834476e-07,3.8086694e-06,-3.2243024e-05,-0.00028992654,0.0010022649,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,2.4513114e-05,1.1964507e-05,1.1967215e-05,2.5048457e-05,0.0138684185,0.013868933,0.014413638,0.106102034,0.10610243,0.20912111,2.0277214e-11,2.0278307e-11,5.1156978e-11,2.903187e-07,2.8976424e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
66000000,66000000,0.7124132,-0.0023623775,0.0039175972,0.7017454,0.31915784,0.33001924,-0.04608842,0.8931744,1.3685315,-1.7615905,2.4902713e-06,7.887961e-07,3.838014e-06,-3.147776e-05,-0.00029106796,0.0009987568,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,2.4154264e-05,1.216981e-05,1.2155715e-05,2.4739336e-05,0.015502932,0.0155066205,0.015080936,0.11605003,0.11604995,0.21612497,2.0451793e-11,2.0452074e-11,4.954333e-11,2.90193e-07,2.8963797e-07,5.000054e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
66992000,66992000,0.7094999,0.012252519,0.043627076,0.70324713,0.2972288,0.29083872,0.10197194,1.2637595,1.6921979,-1.7768816,2.5763788e-06,8.548193e-07,3.7948048e-06,-3.1127925e-05,-0.0002918278,0.000995907,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,2.3924544e-05,1.2458994e-05,1.2322972e-05,2.4220446e-05,0.01703708,0.017043835,0.015573957,0.12689914,0.12689914,0.21880144,2.0619664e-11,2.061911e-11,4.8062606e-11,2.9008854e-07,2.8953096e-07,5.000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
68000000,68000000,0.7082714,0.0054562967,0.009769555,0.7058516,-0.27223685,-0.23138633,0.10701434,1.2331153,1.6335131,-1.7087973,2.8079612e-06,1.1230445e-06,3.6755216e-06,-2.9455714e-05,-0.00029334304,0.0009834733,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,2.373888e-05,1.2116169e-05,1.2111582e-05,2.3804436e-05,0.015467332,0.015498767,0.015034751,0.11600324,0.116003945,0.21516022,2.0404824e-11,2.0400856e-11,4.667747e-11,2.8996067e-07,2.8940332e-07,5.000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
69000000,69000000,0.70380944,0.0055020642,0.0003096906,0.71036756,-0.3658875,-0.38313666,-0.07569844,0.93056023,1.3242412,-1.6910944,2.9726518e-06,1.2646135e-06,3.5347828e-06,-2.8282084e-05,-0.0002939074,0.0009632678,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,2.3629742e-05,1.1850903e-05,1.184594e-05,2.3130122e-05,0.013966677,0.013977583,0.014459359,0.1060418,0.10604287,0.21090643,2.0171956e-11,2.0165631e-11,4.5368636e-11,2.8983936e-07,2.892816e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
70000000,70000000,0.70136976,0.0062026693,0.005426285,0.7127501,-0.3788483,-0.4269569,-0.040914327,0.57986367,0.9476919,-1.6953094,3.0804113e-06,1.3710232e-06,3.401523e-06,-2.6912025e-05,-0.0002942139,0.00094601285,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,2.3499777e-05,1.2033638e-05,1.2026845e-05,2.2714297e-05,0.015542523,0.015546629,0.015001408,0.11600784,0.1160113,0.21418786,2.0351894e-11,2.0345288e-11,4.427269e-11,2.8976183e-07,2.8920604e-07,5.000018e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
71000000,71000000,0.7001101,0.0044318344,0.002596579,0.7140165,-0.35736957,-0.38032368,-0.03629423,0.22732528,0.5499956,-1.6460996,3.2108956e-06,1.4709204e-06,3.2293658e-06,-2.456316e-05,-0.00029485326,0.00091132446,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,2.3260669e-05,1.1785058e-05,1.1771555e-05,2.2354861e-05,0.013912063,0.013912673,0.014433269,0.106044225,0.10604621,0.20998195,2.012659e-11,2.0120614e-11,4.324038e-11,2.8963987e-07,2.8909028e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
72000000,72000000,0.7007004,0.0056731775,-0.00041139542,0.71343297,-0.3168129,-0.3630588,-0.040038373,-0.10081498,0.17381397,-1.6055125,3.2456417e-06,1.4967723e-06,3.0873277e-06,-2.3138891e-05,-0.00029545667,0.00088479044,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,2.2967984e-05,1.1977209e-05,1.1961302e-05,2.2171173e-05,0.015534568,0.015533513,0.014977237,0.11600449,0.11600636,0.21324629,2.0310881e-11,2.03057e-11,4.2340347e-11,2.8955506e-07,2.8901053e-07,5.0000093e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
72992000,72992000,0.7025219,0.003901334,0.004808906,0.71163523,-0.32068923,-0.36008286,-0.037025344,-0.4022318,-0.16911364,-1.5398976,3.2771216e-06,1.5290613e-06,2.9075895e-06,-2.1244789e-05,-0.0002964032,0.00085287844,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,2.2592028e-05,1.21547455e-05,1.21426765e-05,2.2062068e-05,0.01718875,0.017186847,0.015601488,0.12689006,0.12689102,0.21969515,2.0486684e-11,2.0482487e-11,4.1506344e-11,2.894744e-07,2.8893575e-07,5.000045e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
74000000,74000000,0.7023707,0.003822831,0.0052218884,0.7117819,-0.3400789,-0.35034537,-0.008308093,-0.74360853,-0.5011913,-1.4121418,3.2777575e-06,1.6949301e-06,2.8944473e-06,-1.7669186e-05,-0.00029725922,0.00080632954,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,2.235048e-05,1.1920173e-05,1.1909793e-05,2.1814587e-05,0.015519017,0.015517283,0.015078691,0.115998395,0.115998685,0.21606629,2.0279748e-11,2.0276683e-11,4.0725808e-11,2.8937396e-07,2.8884298e-07,5.000054e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
75000000,75000000,0.7032075,0.0037099174,0.006821932,0.71094227,-0.34750447,-0.35862774,0.002365167,-1.0802501,-0.8315088,-1.2782767,3.3224335e-06,1.8396182e-06,2.7251424e-06,-1.3935911e-05,-0.00029930312,0.000759164,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,2.2076829e-05,1.16825995e-05,1.1673385e-05,2.1676191e-05,0.01389815,0.013897801,0.014502778,0.10603699,0.106037036,0.21178842,2.0064807e-11,2.0062549e-11,4.0042674e-11,2.8929853e-07,2.8877201e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
75992000,75992000,0.7019131,-0.0044804174,-0.0067616324,0.71221644,-0.33250365,-0.3537996,0.103140295,-1.4256269,-1.1725322,-1.1585591,3.3477388e-06,1.918715e-06,2.5997365e-06,-1.1741756e-05,-0.0003008685,0.00072787644,0.21611647,0.010903703,0.42907342,0.0,0.0,0.0,0.0,0.0,2.19265e-05,1.1876272e-05,1.18629605e-05,2.1395304e-05,0.015343155,0.015343927,0.015000207,0.11545702,0.11545671,0.21432503,2.0246131e-11,2.0244303e-11,3.941345e-11,2.892625e-07,2.8873697e-07,5.000027e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
