timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
500000,500000,1310988,1310988,-8.4157095e-05,-0.00023755369,3.3022476e-05,-0.00024899698,-0.005956774,-0.03704309,4000,4000,0,0
1000000,1000000,1310988,1310988,-7.456816e-06,-8.5220945e-06,1.4913735e-05,-0.00012449849,0.0014269451,-0.0381157,4000,4000,0,0
1500000,1500000,1310988,1310988,1.4913704e-05,1.0652655e-05,6.391572e-06,-5.267244e-05,9.0980364e-05,-0.0392697,4000,4000,0,0
2000000,2000000,1310988,1310988,2.130558e-06,1.7044229e-05,3.1958073e-06,0.0004788404,-0.00026336152,-0.03953785,4000,4000,0,0
2500000,2500000,1310988,1310988,2.130528e-06,1.171791e-05,-3.195798e-06,0.00024899698,-2.8729735e-05,-0.039461236,4000,4000,0,0
3000000,3000000,1310988,1310988,2.130548e-06,1.278317e-05,1.0652708e-06,5.267244e-05,0.0001436528,-0.039398983,4000,4000,0,0
3500000,3500000,1310988,1310988,2.024002e-05,-8.522117e-06,-4.2610786e-06,0.00035913027,4.3096312e-05,-0.03881959,4000,4000,0,0
4000000,4000000,1310988,1310988,-1.0652488e-05,-5.6459052e-05,-2.0240013e-05,-0.00011971009,0.00023942086,-0.037143648,4000,4000,0,0
4500000,4500000,1310988,1310988,-7.4568484e-06,3.1957948e-06,4.2610636e-06,0.00018674775,-0.00027772674,-0.039509118,4000,4000,0,0
5000000,5000000,1310988,1310988,1.2783198e-05,2.5566338e-05,1.581002e-12,0.000474052,-0.0004788397,-0.03948997,4000,4000,0,0
5500000,5500000,1310988,1310988,-1.2783143e-05,1.2783192e-05,-1.597898e-05,0.00029209268,-0.0002202659,-0.03887705,4000,4000,0,0
6000000,6000000,1310988,1310988,-8.522137e-06,-2.556634e-05,3.1958064e-06,-0.0004884172,0.00019632519,-0.037067033,4000,4000,0,0
6500000,6500000,1310988,1310988,-1.8109511e-05,1.38484265e-05,1.0652576e-06,0.00051235914,0.00011492236,-0.038996764,4000,4000,0,0
7000000,7000000,1310988,1310988,1.2783151e-05,-7.4568943e-06,1.171791e-05,-0.00030645786,2.3942699e-05,-0.039011125,4000,4000,0,0
7500000,7500000,1310988,1310988,-3.1957977e-06,-8.522105e-06,1.704424e-05,0.00021547818,-0.0002442079,-0.039236177,4000,4000,0,0
8000000,8000000,1310988,1310988,2.130525e-06,6.391581e-06,7.456858e-06,0.00045010995,0.00018196004,-0.03950433,4000,4000,0,0
8500000,8500000,1310988,1310988,6.3915973e-06,-2.13053e-05,-1.4913684e-05,-0.00093852717,0.0001771716,-0.039485183,4000,4000,0,0
9000000,9000000,1310988,1310988,-2.6631622e-05,3.089267e-05,4.2610354e-06,0.00034955348,-0.0002250543,-0.038939293,4000,4000,0,0
9500000,9500000,1310988,1310988,7.456819e-06,8.522143e-06,-2.2370557e-05,0.00025378537,0.00021547887,-0.039413355,4000,4000,0,0
10000000,10000000,1310988,1310988,2.1305493e-06,2.1305295e-06,2.1305288e-05,3.3518827e-05,-0.00016759346,-0.038939297,4000,4000,0,0
10500000,10500000,1310988,1310988,-3.1957761e-06,-5.326296e-06,2.4501094e-05,0.0003734955,-0.00018674709,-0.038738184,4000,4000,0,0
11000000,11000000,1310988,1310988,2.2370563e-05,-7.456844e-06,1.49136995e-05,0.00034955348,-0.00013407464,-0.03904943,4000,4000,0,0
11500000,11500000,1310988,1310988,-1.3848428e-05,-1.17179325e-05,-1.7044227e-05,0.00028251583,-8.619059e-05,-0.03925055,4000,4000,0,0
12000000,12000000,1310988,1310988,-3.1957836e-06,1.2783176e-05,2.1305366e-06,0.00015801731,-0.000636857,-0.038857896,4000,4000,0,0
12500000,12500000,1310988,1310988,2.1305295e-06,2.1305266e-06,6.3915886e-06,0.00028730422,0.00017717162,-0.038872264,4000,4000,0,0
13000000,13000000,1310988,1310988,-5.3263557e-06,-1.4913687e-05,8.522125e-06,-0.00060812733,0.00040701503,-0.038958456,4000,4000,0,0
13500000,13500000,1310988,1310988,3.1957882e-06,5.3263248e-06,1.0652707e-06,0.00034476508,-0.00032082235,-0.03919787,4000,4000,0,0
14000000,14000000,1310988,1310988,3.1958004e-06,-4.2610545e-06,-9.58738e-06,0.00033518826,-0.0004501093,-0.038872268,4000,4000,0,0
14500000,14500000,1310988,1310988,2.982735e-05,-2.450116e-05,2.2370554e-05,3.3518827e-05,-0.00025857313,-0.038987186,4000,4000,0,0
15000000,15000000,1310988,1310988,-2.1305274e-05,-6.3916195e-06,1.3848451e-05,0.0003351883,0.0002729397,-0.03913083,4000,4000,0,0
15500000,15500000,1310988,1310988,1.0652652e-05,2.0240015e-05,6.3916054e-06,0.00044053316,-0.00032561074,-0.038824376,4000,4000,0,0
16000000,16000000,1310988,1310988,-1.2783175e-05,8.358967e-12,-2.1305304e-06,0.00014844052,-1.9152936e-05,-0.03893451,4000,4000,0,0
16500000,16500000,1310988,1310988,-1.0652639e-05,-2.4501083e-05,-4.2610827e-06,0.00051235914,-0.00036870645,-0.0378236,4000,4000,0,0
17000000,17000000,1310988,1310988,-1.2783194e-05,1.5978952e-05,1.0652818e-06,-9.576808e-06,8.6191954e-05,-0.039063804,4000,4000,0,0
17500000,17500000,1310988,1310988,2.0240004e-05,1.5978989e-05,4.261082e-06,0.00018674775,-0.00016759346,-0.039006334,4000,4000,0,0
18000000,18000000,1310988,1310988,3.1957961e-06,6.391576e-06,1.2783181e-05,0.00035913027,5.2673116e-05,-0.038637627,4000,4000,0,0
18500000,18500000,1310988,1310988,1.0652647e-05,-3.1957978e-05,-1.7044162e-05,0.00088585477,-4.309496e-05,-0.038905777,4000,4000,0,0
19000000,19000000,1310988,1310988,-9.693945e-05,-0.0005997438,2.2371305e-05,-0.00043095637,0.00043095706,-0.040145975,4000,4000,0,0
19500000,19500000,1310988,1310988,2.3435043e-05,0.0011845743,-0.00017683378,-0.00045968674,-0.00032082238,-0.03838385,4000,4000,0,0
20000000,20000000,1310988,1310988,9.0547364e-05,0.00038988685,-5.7524405e-05,-8.619127e-05,-0.00016759339,-0.043181825,4000,4000,0,0
20500000,20500000,1310988,1310988,-2.769634e-05,-0.0006956178,8.202455e-05,3.351883e-05,-1.436454e-05,-0.038436517,4000,4000,0,0
21000000,21000000,1310988,1310988,-2.1304745e-06,0.00067005144,5.5393648e-05,-1.4365211e-05,-0.00015322825,-0.039020706,4000,4000,0,0
21500000,21500000,1310988,1310988,-1.0651982e-05,-0.000990696,3.6218637e-05,0.00013407532,-0.0004309557,-0.03754588,4000,4000,0,0
22000000,22000000,1310988,1310988,-2.7696971e-05,0.00057098176,-1.278333e-05,-0.00021547818,-0.00032561077,-0.03791458,4000,4000,0,0
22500000,22500000,1310988,1310988,2.2370454e-05,-0.00026098976,6.817711e-05,0.0002394202,-0.00042137888,-0.038149215,4000,4000,0,0
23000000,23000000,1310988,1310988,1.0647464e-06,-0.00018535586,0.00015446356,-9.097968e-05,-0.00024420794,-0.038570594,4000,4000,0,0
23500000,23500000,1310988,1310988,-3.1958312e-05,0.000572047,-0.00010226534,-7.1826056e-05,-0.00013407458,-0.042659886,4000,4000,0,0
24000000,24000000,1310988,1310988,4.048033e-05,-0.00066046405,-9.906876e-05,-0.00030645786,-0.0005363006,-0.036516372,4000,4000,0,0
24500000,24500000,1310988,1310988,-3.1956824e-05,0.00070307474,-1.1718e-05,-0.0004261679,-0.00035912966,-0.036530733,4000,4000,0,0
25000000,25000000,1310988,1310988,2.6631415e-05,-0.00061678817,2.5567031e-05,-9.097968e-05,-0.00038307163,-0.03801514,4000,4000,0,0
25500000,25500000,1310988,1310988,-2.0240683e-05,0.00041225736,-6.3914777e-06,-0.00014844054,3.83079e-05,-0.03822583,4000,4000,0,0
26000000,26000000,1310988,1310988,1.704428e-05,-8.948223e-05,-2.4501054e-05,-0.00019632453,-2.8729748e-05,-0.03877649,4000,4000,0,0
26500000,26500000,1310988,1310988,7.456883e-06,-0.00026951192,-9.58726e-06,-0.00029688107,-0.00012449782,-0.038829163,4000,4000,0,0
27000000,27000000,1310988,1310988,1.2779374e-05,-0.0042791674,4.253014e-06,-0.00084275904,-0.0002729383,-0.038637627,4000,4000,0,0
27500000,27500000,1310988,1310988,-6.4970896e-05,0.005886651,4.7933063e-05,-0.00192015,-0.000244208,-0.035381522,4000,4000,0,0
28000000,28000000,1310988,1310988,2.0240734e-05,-0.0020975056,-6.3930406e-06,-0.00051714765,-8.14021e-05,-0.044101197,4000,4000,0,0
28500000,28500000,1310988,1310988,-2.1307094e-06,-0.000111852765,1.7044313e-05,-0.0012593501,2.3942595e-05,-0.033068717,4000,4000,0,0
29000000,29000000,1310988,1310988,-2.130229e-06,0.0010109362,1.597881e-05,-0.0004596867,-0.00013886292,-0.04537013,4000,4000,0,0
29500000,29500000,1310988,1310988,1.0652447e-05,-0.0010045444,9.587565e-06,-0.00070389535,-0.0001053442,-0.03864242,4000,4000,0,0
30000000,30000000,1310988,1310988,7.455888e-06,0.0007616641,-7.457667e-06,-0.0005506664,6.224998e-05,-0.041936837,4000,4000,0,0
30500000,30500000,1310988,1310988,1.278207e-05,-0.00047830382,2.1305308e-05,-0.0004884172,-0.00025378467,-0.041544195,4000,4000,0,0
31000000,31000000,1310988,1310988,-2.343553e-05,0.00022690138,1.1718074e-05,-0.00024899698,0.00020111368,-0.040830716,4000,4000,0,0
31500000,31500000,1310988,1310988,-7.432865e-11,-5.9654813e-05,1.171792e-05,-0.00041180273,-6.703695e-05,-0.04107972,4000,4000,0,0
32000000,32000000,1310988,1310988,-2.1305539e-06,-1.8109506e-05,1.1717898e-05,-0.00019632454,0.00019632526,-0.04012204,4000,4000,0,0
32500000,32500000,1310988,1310988,-0.00033236283,0.0005571333,-3.515243e-05,0.0,0.00018196004,-0.038891412,4000,4000,0,0
33000000,33000000,1310988,1310988,-9.693999e-05,-0.0010492853,1.491433e-05,0.00013407532,-0.0002825152,-0.036406238,4000,4000,0,0
33500000,33500000,1310988,1310988,-0.000117179785,0.00070840074,8.523125e-06,-0.00015322893,-0.00023463114,-0.037411798,4000,4000,0,0
34000000,34000000,1310988,1310988,-6.28508e-05,-0.00042504055,4.261354e-06,-1.4365211e-05,-0.00022026591,-0.038201887,4000,4000,0,0
34500000,34500000,1310988,1310988,-1.7044227e-05,4.367585e-05,-8.522114e-06,-0.00020590138,0.00022026725,-0.038685516,4000,4000,0,0
35000000,35000000,1310988,1310988,0.00037177763,0.00033875523,0.0001363503,-0.000100556485,0.0008283946,-0.041098867,4000,4000,0,0
35500000,35500000,1310988,1310988,0.0009736516,-0.000569917,-6.711044e-05,-0.00022026658,0.0014460988,-0.038680732,4000,4000,0,0
36000000,36000000,1310988,1310988,0.0005965488,0.00074461935,-9.693989e-05,-0.00022984335,0.0014125798,-0.038671143,4000,4000,0,0
36500000,36500000,1310988,1310988,0.0001523335,-0.0008181231,3.1962609e-06,-0.00014844054,0.00091458583,-0.039327163,4000,4000,0,0
