timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
804000,0.0,0.0,0.0,1
2000000,0.0,0.0,0.0,1
2800000,0.0,0.0,0.0,1
3600000,0.0,0.0,0.0,1
4800000,0.0,0.0,0.0,1
5600000,0.0,0.0,0.0,1
6800000,0.0,0.0,0.0,1
7600000,0.0,0.0,0.0,1
8800000,0.0,0.0,0.0,1
10000000,0.0,0.0,0.0,1
10800000,0.0,0.0,0.0,1
12000000,0.0,0.0,0.0,1
12800000,0.0,0.0,0.0,1
14000000,0.0,0.0,0.0,1
14800000,0.0,0.0,0.0,1
15800000,0.0,0.0,0.0,1
16200000,0.0,0.0,0.0,1
80200000,0.0,0.0,0.0,1
80600000,0.0,0.0,0.0,1
81000000,0.0,0.0,0.0,1
82200000,0.0,0.0,0.0,1
