timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
140000,inf,0,1,1,1,0,0,1,1,0,1
1140000,inf,0,1,1,1,0,0,1,0,0,1
2140000,inf,0,1,1,1,0,0,1,0,0,1
3140000,inf,0,1,1,1,0,0,1,0,0,1
4140000,inf,0,1,1,1,0,0,1,0,0,1
5140000,inf,0,1,1,1,0,0,1,0,0,1
6140000,inf,0,1,1,1,0,0,1,0,0,1
6632000,inf,0,1,1,1,1,1,1,0,0,1
7632000,inf,0,1,1,1,1,1,1,0,0,1
8632000,inf,0,1,1,1,1,1,1,0,0,1
9632000,inf,0,1,1,1,1,1,1,0,0,1
10632000,inf,0,1,1,1,1,1,1,0,0,1
11352000,inf,0,1,1,1,0,0,1,0,0,1
12352000,inf,0,1,1,1,0,0,1,0,0,1
13352000,inf,0,1,1,1,0,0,1,0,0,1
14352000,inf,0,1,1,1,0,0,1,0,0,1
15352000,inf,0,1,1,1,0,0,1,0,0,1
16352000,inf,0,1,1,1,0,0,1,0,0,1
17352000,inf,0,1,1,1,0,0,1,0,0,1
17400000,inf,0,1,1,1,1,0,1,0,0,1
18100000,inf,0,1,0,0,1,0,1,0,0,1
18112000,inf,0,0,0,0,1,0,1,0,0,1
19112000,inf,0,0,0,0,1,0,0,0,0,1
20112000,inf,0,0,0,0,1,0,0,1,0,1
21112000,inf,0,0,0,0,1,0,0,1,0,1
22112000,inf,0,0,0,0,1,0,0,0,0,1
23100000,inf,0,0,0,0,0,0,0,0,0,1
24100000,inf,0,0,0,0,0,0,0,0,0,1
25100000,inf,0,0,0,0,0,0,0,0,0,1
26100000,inf,0,0,0,0,0,0,0,0,0,1
27100000,inf,0,0,0,0,0,0,0,0,0,1
28100000,inf,0,0,0,0,0,0,0,0,0,1
29100000,inf,0,0,0,0,0,0,0,0,0,1
30100000,inf,0,0,0,0,0,0,0,0,0,1
31100000,inf,0,0,0,0,0,0,0,0,0,1
32100000,inf,0,0,0,0,0,0,0,0,0,1
33100000,inf,0,0,0,0,0,0,0,0,0,1
34100000,inf,0,0,0,0,0,0,0,0,0,1
35100000,inf,0,0,0,0,0,0,0,0,0,1
36100000,inf,0,0,0,0,0,0,0,0,0,1
37100000,inf,0,0,0,0,0,0,0,0,0,1
38100000,inf,0,0,0,0,0,0,0,0,0,1
39100000,inf,0,0,0,0,0,0,0,0,0,1
40100000,inf,0,0,0,0,0,0,0,0,0,1
41100000,inf,0,0,0,0,0,0,0,0,0,1
42100000,inf,0,0,0,0,0,0,0,0,0,1
43100000,inf,0,0,0,0,0,0,0,0,0,1
44100000,inf,0,0,0,0,0,0,0,0,0,1
45100000,inf,0,0,0,0,0,0,0,0,0,1
46100000,inf,0,0,0,0,0,0,0,0,0,1
47100000,inf,0,0,0,0,0,0,0,0,0,1
48100000,inf,0,0,0,0,0,0,0,0,0,1
49100000,inf,0,0,0,0,0,0,0,0,0,1
50100000,inf,0,0,0,0,0,0,0,0,0,1
51100000,inf,0,0,0,0,0,0,0,0,0,1
52100000,inf,0,0,0,0,0,0,0,0,0,1
53100000,inf,0,0,0,0,0,0,0,0,0,1
54100000,inf,0,0,0,0,0,0,0,0,0,1
