timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,source,priority,id,is_powering_off,warning
18800000,16.11054,16.144007,-1.0,-1.0,-1.0,0.0,0.9745479,1.0034684,nan,4,4.0360017,4.0360017,4.0360017,4.0360017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
19000000,16.103209,16.137259,-1.0,-1.0,-1.0,0.0,0.9714809,1.003888,nan,4,4.0343146,4.0343146,4.0343146,4.0343146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
19200000,16.095875,16.130402,-1.0,-1.0,-1.0,0.0,0.9683638,1.0043148,nan,4,4.0326004,4.0326004,4.0326004,4.0326004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
19400000,16.088543,16.123463,-1.0,-1.0,-1.0,0.0,0.96521,1.004747,nan,4,4.0308657,4.0308657,4.0308657,4.0308657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
19600000,16.08121,16.116453,-1.0,-1.0,-1.0,0.0,0.9620238,1.0051839,nan,4,4.0291133,4.0291133,4.0291133,4.0291133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
19800000,16.073877,16.109385,-1.0,-1.0,-1.0,0.0,0.95881087,1.005625,nan,4,4.027346,4.027346,4.027346,4.027346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
20000000,16.066544,16.102266,-1.0,-1.0,-1.0,0.0,0.95557505,1.0060697,nan,4,4.0255666,4.0255666,4.0255666,4.0255666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
20200000,16.059212,16.09511,-1.0,-1.0,-1.0,0.0,0.95232254,1.0065169,nan,4,4.0237775,4.0237775,4.0237775,4.0237775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
20388000,16.052319,16.088284,-1.0,-1.0,-1.0,0.0,0.9492193,1.0069441,nan,4,4.022071,4.022071,4.022071,4.022071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
20600000,16.044546,16.08071,-1.0,-1.0,-1.0,0.0,0.9457765,1.0074183,nan,4,4.0201774,4.0201774,4.0201774,4.0201774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
20800000,16.037212,16.073473,-1.0,-1.0,-1.0,0.0,0.9424873,1.0078719,nan,4,4.0183682,4.0183682,4.0183682,4.0183682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
