timestamp,mag_inconsistency_angle
496000,7.315206e-09
992000,6.7150636e-09
1496000,8.164417e-09
1992000,0.00032722292
2496000,3.091976e-05
2992000,3.0820318e-06
3488000,0.0006420055
3992000,0.00020762921
4500000,1.9619822e-05
4996000,0.00053464086
5488000,0.0008811462
5996000,8.324746e-05
6492000,0.0002869121
6996000,2.7112128e-05
7492000,2.7031672e-06
7996000,9.717256e-05
8492000,9.669492e-06
8988000,9.690582e-07
9492000,0.0006205332
10000000,5.8627833e-05
10496000,5.838192e-06
11000000,0.00048922497
11496000,4.8654907e-05
12000000,4.6040354e-06
12496000,4.6590213e-07
12992000,5.3164623e-08
13496000,0.00017823138
13992000,1.7730841e-05
14488000,1.7703908e-06
14608000,1.0108971e-06
85964000,9.605542e-07
85976000,9.130184e-07
86460000,9.045429e-05
