timestamp,mag_inconsistency_angle
496000,8.145024e-09
992000,7.979016e-09
1496000,8.75996e-09
1992000,0.0003904504
2496000,3.689256e-05
2992000,3.6756364e-06
3500000,3.5555527e-07
3992000,4.340487e-08
4488000,1.2960106e-08
4996000,9.390655e-09
5488000,8.819466e-09
5996000,0.0011539491
6500000,0.00010902043
6996000,1.0849036e-05
7492000,1.0862946e-06
7996000,9.7914155e-05
8492000,9.743633e-06
8988000,0.00021923764
9492000,2.0719435e-05
10000000,0.00020140973
10496000,2.0036414e-05
11000000,1.9006571e-06
11496000,1.9589154e-07
12000000,0.0017628543
12496000,0.00017530435
12992000,1.7440265e-05
13496000,0.0004926816
13992000,0.0005082466
14488000,0.0001421168
14620000,7.6797674e-05
34476000,7.2958486e-05
34484000,6.931094e-05
34968000,7.263118e-06
