timestamp,mag_inconsistency_angle
496000,7.844605e-09
1000000,8.564048e-09
1496000,0.00022664489
1992000,2.2545055e-05
2496000,2.1368296e-06
2992000,2.1772128e-07
3488000,0.00116183
3992000,0.000109763474
4488000,0.00041316316
4996000,3.9038063e-05
5488000,3.8890557e-06
5996000,3.7474314e-07
6492000,4.5577078e-08
6996000,1.1463012e-08
7492000,9.1495735e-09
7996000,7.668012e-09
8492000,0.00028212217
9000000,2.6658758e-05
9492000,0.00049499463
10000000,4.6768564e-05
10496000,4.657934e-06
10988000,0.00038640358
11496000,3.651082e-05
12000000,3.456696e-06
12496000,3.5081803e-07
12992000,4.127737e-08
13496000,6.477424e-05
13992000,0.00042860975
14500000,4.0497216e-05
14608000,2.4250332e-05
