timestamp,position,velocity,acceleration,attitude,body_rate
1328000,1,0,0,0,0
1360000,1,0,0,0,0
1428000,1,0,0,0,0
1528000,1,0,0,0,0
1628000,1,0,0,0,0
1728000,1,0,0,0,0
1828000,1,0,0,0,0
1928000,1,0,0,0,0
2028000,1,0,0,0,0
2128000,1,0,0,0,0
2228000,1,0,0,0,0
2328000,1,0,0,0,0
2428000,1,0,0,0,0
2528000,1,0,0,0,0
2628000,1,0,0,0,0
2728000,1,0,0,0,0
2828000,1,0,0,0,0
2928000,1,0,0,0,0
3028000,1,0,0,0,0
3128000,1,0,0,0,0
3228000,1,0,0,0,0
3328000,1,0,0,0,0
3428000,1,0,0,0,0
3528000,1,0,0,0,0
3628000,1,0,0,0,0
3728000,1,0,0,0,0
3828000,1,0,0,0,0
3928000,1,0,0,0,0
4028000,1,0,0,0,0
4128000,1,0,0,0,0
4228000,1,0,0,0,0
4328000,1,0,0,0,0
4428000,1,0,0,0,0
4528000,1,0,0,0,0
4628000,1,0,0,0,0
4728000,1,0,0,0,0
4828000,1,0,0,0,0
4928000,1,0,0,0,0
5028000,1,0,0,0,0
5128000,1,0,0,0,0
5228000,1,0,0,0,0
5328000,1,0,0,0,0
5428000,1,0,0,0,0
5528000,1,0,0,0,0
5628000,1,0,0,0,0
5728000,1,0,0,0,0
5832000,1,0,0,0,0
5928000,1,0,0,0,0
6028000,1,0,0,0,0
6128000,1,0,0,0,0
6228000,1,0,0,0,0
6328000,1,0,0,0,0
6428000,1,0,0,0,0
6528000,1,0,0,0,0
6628000,1,0,0,0,0
6728000,1,0,0,0,0
6828000,1,0,0,0,0
6928000,1,0,0,0,0
7028000,1,0,0,0,0
7128000,1,0,0,0,0
7228000,1,0,0,0,0
7328000,1,0,0,0,0
7428000,1,0,0,0,0
7528000,1,0,0,0,0
7628000,1,0,0,0,0
7728000,1,0,0,0,0
7828000,1,0,0,0,0
7928000,1,0,0,0,0
8028000,1,0,0,0,0
8128000,1,0,0,0,0
8228000,1,0,0,0,0
8328000,1,0,0,0,0
8428000,1,0,0,0,0
8528000,1,0,0,0,0
8628000,1,0,0,0,0
8728000,1,0,0,0,0
8828000,1,0,0,0,0
8928000,1,0,0,0,0
9028000,1,0,0,0,0
9128000,1,0,0,0,0
9228000,1,0,0,0,0
9328000,1,0,0,0,0
9428000,1,0,0,0,0
9528000,1,0,0,0,0
9628000,1,0,0,0,0
9728000,1,0,0,0,0
9828000,1,0,0,0,0
9928000,1,0,0,0,0
10028000,1,0,0,0,0
10128000,1,0,0,0,0
10228000,1,0,0,0,0
10328000,1,0,0,0,0
10428000,1,0,0,0,0
10528000,1,0,0,0,0
10628000,1,0,0,0,0
10728000,1,0,0,0,0
10828000,1,0,0,0,0
10928000,1,0,0,0,0
11028000,1,0,0,0,0
11128000,1,0,0,0,0
11228000,1,0,0,0,0
11328000,1,0,0,0,0
11428000,1,0,0,0,0
11528000,1,0,0,0,0
11628000,1,0,0,0,0
11728000,1,0,0,0,0
