timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
18000000,18000000,1310988,1310988,5.326324e-06,-1.0652786e-06,1.2783174e-05,-0.00013407532,2.8731098e-05,-0.0387334,4000,4000,0,0
18500000,18500000,1310988,1310988,6.3915772e-06,-7.4568934e-06,-1.704422e-05,-9.5768075e-05,-0.00031124556,-0.038977604,4000,4000,0,0
19000000,19000000,1310988,1310988,-7.8829595e-05,-4.1545267e-05,2.130592e-06,1.915362e-05,0.00018196003,-0.038656786,4000,4000,0,0
19500000,19500000,1310988,1310988,-0.00011291812,-0.00016724662,-0.00010546096,-2.3942017e-05,-0.0002873035,-0.040150765,4000,4000,0,0
20000000,20000000,1310988,1310988,0.00014700666,-0.000117179094,-0.00016618113,-9.5768075e-05,-4.788336e-05,-0.03861848,4000,4000,0,0
20500000,20500000,1310988,1310988,0.00017683394,0.0002087922,-0.00014381018,-0.0003256114,0.00011013395,-0.0380726,4000,4000,0,0
21000000,21000000,1310988,1310988,-6.072e-05,0.00040160478,-8.522108e-05,-0.0004788404,-0.000114921,-0.039446875,4000,4000,0,0
21500000,21500000,1310988,1310988,-0.00018642131,0.00016831172,4.5806566e-05,-0.0002777274,-0.00037349478,-0.04135266,4000,4000,0,0
22000000,22000000,1310988,1310988,0.0003110574,-0.00016618115,0.00012037468,-6.2249244e-05,-0.00022505429,-0.039398987,4000,4000,0,0
22500000,22500000,1310988,1310988,0.0004697815,-0.0007627295,0.0001874869,0.00044532155,-0.0004548976,-0.040931277,4000,4000,0,0
23000000,23000000,1310988,1310988,-0.00067218306,-0.00061678706,0.00019707369,0.0,-0.00063206867,-0.03265691,4000,4000,0,0
23500000,23500000,1310988,1310988,-0.0009523467,0.0006572681,0.00012676617,-0.0005506664,-0.00038307175,-0.030339329,4000,4000,0,0
24000000,24000000,1310988,1310988,0.00030892654,0.0014966967,4.3672677e-05,-0.00068953016,-0.00018674719,-0.03256594,4000,4000,0,0
24500000,24500000,1310988,1310988,0.0014029527,-0.0010088072,-0.00023861635,-0.009107543,-0.0011587931,-0.031191664,4000,4000,0,0
25000000,25000000,1310988,1310988,0.0001864173,-0.00059655367,0.0003462036,-0.00032561144,-0.0052720327,-0.014987705,4000,4000,0,0
25500000,25500000,1310988,1310988,-0.0011334406,-0.00040693567,0.00012782478,-0.0023175874,-0.0019823986,-0.036190752,4000,4000,0,0
26000000,26000000,1310988,1310988,-0.0015542211,4.687026e-05,-1.0648998e-06,-3.351883e-05,0.0047500976,-0.039394196,4000,4000,0,0
26500000,26500000,1310988,1310988,0.0012761871,6.178381e-05,3.621744e-05,-2.3942017e-05,0.004065355,-0.039145205,4000,4000,0,0
27000000,27000000,1310988,1310988,0.0017608823,4.1542975e-05,-2.6633952e-05,-0.00019632454,-0.0031890764,-0.039236177,4000,4000,0,0
27500000,27500000,1310988,1310988,-0.0009139971,-1.1714501e-05,-4.2591164e-06,0.0008188171,-0.009648632,-0.04107493,4000,4000,0,0
28000000,28000000,1310988,1310988,-0.002041047,4.259263e-06,-2.2374721e-05,-0.000746991,0.0017429796,-0.036899444,4000,4000,0,0
28500000,28500000,1310988,1310988,0.0006530071,1.7042934e-05,-0.00014700722,-3.351883e-05,0.007987058,-0.035496444,4000,4000,0,0
29000000,29000000,1310988,1310988,0.001964348,-7.4574973e-06,5.0067443e-05,0.00043574476,-0.00064164534,-0.040399764,4000,4000,0,0
29500000,29500000,1310988,1310988,-6.391578e-05,0.00016831225,-0.00010439526,-0.0012162547,-0.0073310453,-0.034146104,4000,4000,0,0
30000000,30000000,1310988,1310988,-0.002004828,7.563088e-05,-6.924014e-05,-0.00021068974,-0.0012401958,-0.037995987,4000,4000,0,0
30500000,30500000,1310988,1310988,-0.00044954102,-1.0651787e-05,-0.00014487798,-0.0011971011,0.010620681,-0.03351883,4000,4000,0,0
31000000,31000000,1310988,1310988,0.001884453,-4.2612977e-05,6.604503e-05,0.00038307227,0.0023415305,-0.040519476,4000,4000,0,0
31500000,31500000,1310988,1310988,0.0010290458,7.563206e-05,-2.2370783e-05,-0.00030645786,-0.006880936,-0.038096536,4000,4000,0,0
32000000,32000000,1310988,1310988,-0.0016596821,0.00010013768,-1.2782401e-05,0.00029209265,-0.0051283794,-0.040897757,4000,4000,0,0
32500000,32500000,1310988,1310988,-0.0019121496,1.2781699e-05,-3.835409e-05,-0.000474052,0.006732496,-0.036741417,4000,4000,0,0
33000000,33000000,1310988,1310988,0.001794971,-6.924322e-05,9.267283e-05,0.0004261679,0.0049320566,-0.040912118,4000,4000,0,0
33500000,33500000,1310988,1310988,0.0013518207,9.48091e-05,-4.474251e-05,-3.351883e-05,-0.0054731453,-0.03904464,4000,4000,0,0
34000000,34000000,1310988,1310988,-0.0011046793,0.00011398392,-4.154594e-05,-0.0001436521,-0.0062153474,-0.038680732,4000,4000,0,0
34500000,34500000,1310988,1310988,-0.0021997713,8.52152e-06,8.520956e-06,-1.915362e-05,0.0038259355,-0.038891412,4000,4000,0,0
35000000,35000000,1310988,1310988,0.0011941637,0.00028867822,-3.8346458e-05,-0.00036870711,0.004405332,-0.037703894,4000,4000,0,0
35500000,35500000,1310988,1310988,0.0016959014,8.735189e-05,-6.8174784e-05,-0.00073741423,-0.0019488798,-0.03649243,4000,4000,0,0
36000000,36000000,1310988,1310988,-0.00018961703,5.2198095e-05,-1.0651739e-06,-0.0003782839,-0.007374141,-0.03715322,4000,4000,0,0
36500000,36500000,1310988,1310988,-0.0021273335,-5.859201e-05,-2.1306048e-05,-0.0002394202,-0.00086191203,-0.038575385,4000,4000,0,0
37000000,37000000,1310988,1310988,-0.00026951195,-6.072158e-05,-0.00030892642,0.00090021995,0.008341401,-0.03494577,4000,4000,0,0
37500000,37500000,1310988,1310988,0.0019995016,-2.024182e-05,0.00010013239,0.00032082302,0.0014460988,-0.04069185,4000,4000,0,0
38000000,38000000,1310988,1310988,0.0007488809,0.00012570202,-0.0001011999,-9.576807e-05,-0.0064308266,-0.037536293,4000,4000,0,0
38500000,38500000,1310988,1310988,-0.0015638084,-2.9830017e-05,-1.7044284e-05,-9.576807e-05,-0.003706224,-0.037986405,4000,4000,0,0
39000000,39000000,1310988,1310988,-0.0022445123,7.882863e-05,2.343944e-05,0.00020111297,0.00594241,-0.039571367,4000,4000,0,0
39500000,39500000,1310988,1310988,0.0018450386,0.00012356699,-3.9409977e-05,-0.00094810396,0.0029592344,-0.036051888,4000,4000,0,0
40000000,40000000,1310988,1310988,0.0012729911,-7.9893165e-05,8.5242755e-06,-0.0006416461,-0.002537853,-0.036846764,4000,4000,0,0
40500000,40500000,1310988,1310988,-0.00079894846,5.00678e-05,-1.9174173e-05,0.0003734955,-0.006062119,-0.039375048,4000,4000,0,0
41000000,41000000,1310988,1310988,-0.0022168155,-2.9825851e-05,1.0647871e-05,-0.0001197101,0.0034620168,-0.03892015,4000,4000,0,0
41500000,41500000,1310988,1310988,0.0012527514,2.3436583e-05,-0.0001821583,0.00050757074,0.0071682413,-0.037454892,4000,4000,0,0
42000000,42000000,1310988,1310988,0.0016724654,-0.00013102544,3.9415412e-05,-0.0003734955,0.00040701503,-0.038719036,4000,4000,0,0
42500000,42500000,1310988,1310988,-0.00024501057,0.00012996291,-5.539342e-05,0.00076135626,-0.006986281,-0.040064577,4000,4000,0,0
43000000,43000000,1310988,1310988,-0.0016351809,-0.00014807543,7.456617e-05,-0.0003399767,0.001958458,-0.03789543,4000,4000,0,0
43500000,43500000,1310988,1310988,-4.5806533e-05,-1.065296e-05,-0.00012037481,0.001326388,0.0063733663,-0.037296876,4000,4000,0,0
44000000,44000000,1310988,1310988,0.0016927054,0.00015446098,-5.113155e-05,-0.0007422026,0.0006320699,-0.0374932,4000,4000,0,0
44500000,44500000,1310988,1310988,0.0005358283,-0.00013102798,8.0957936e-05,0.0014700401,-0.010639833,-0.042722143,4000,4000,0,0
45000000,45000000,1310988,1310988,-0.0014370416,6.9246154e-05,7.460236e-06,0.00058897375,-0.0050421883,-0.04063918,4000,4000,0,0
45500000,45500000,1310988,1310988,-0.0008905608,-0.00011185459,-6.2853025e-05,-0.0007613562,0.0044532157,-0.035563473,4000,4000,0,0
46000000,46000000,1310988,1310988,0.00064022443,-0.00020879095,6.924089e-05,0.00022026658,0.005755662,-0.039868254,4000,4000,0,0
46500000,46500000,1310988,1310988,0.0015339812,3.941263e-05,1.5977419e-05,0.00020590138,-0.0026001022,-0.040141188,4000,4000,0,0
47000000,47000000,1310988,1310988,-0.0006189185,0.00013742124,9.374163e-05,0.00063685764,-0.0036104561,-0.023166299,4000,4000,0,0
47500000,47500000,1310988,1310988,-0.00095128134,0.00018429037,-6.178598e-05,0.00059376215,-0.004668694,-0.04039498,4000,4000,0,0
48000000,48000000,1310988,1310988,-0.0003238404,-1.0651041e-06,-8.522521e-06,-0.0005841853,0.0024037797,-0.03544855,4000,4000,0,0
