timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
504000,inf,0,1,1,1,0,0,1,1,0,1
1512000,inf,0,1,1,1,0,0,1,0,0,1
2512000,inf,0,1,1,1,0,0,1,0,0,1
3512000,inf,0,1,1,1,0,0,1,0,0,1
4512000,inf,0,1,1,1,0,0,1,0,0,1
5512000,inf,0,1,1,1,0,0,1,0,0,1
6512000,inf,0,1,1,1,0,0,1,0,0,1
7512000,inf,0,1,1,1,0,0,1,0,0,1
8232000,inf,0,1,1,1,1,1,1,0,0,1
9232000,inf,0,1,1,1,1,1,1,0,0,1
9632000,inf,0,1,1,1,0,0,1,0,0,1
10632000,inf,0,1,1,1,0,0,1,0,0,1
11632000,inf,0,1,1,1,0,0,1,0,0,1
12632000,inf,0,1,1,1,0,0,1,0,0,1
13632000,inf,0,1,1,1,0,0,1,0,0,1
14632000,inf,0,1,1,1,0,0,1,0,0,1
15632000,inf,0,1,1,1,1,0,1,0,0,1
16440000,inf,0,1,0,0,1,0,1,0,0,1
16452000,inf,0,0,0,0,1,0,1,0,0,1
17452000,inf,0,0,0,0,1,0,0,0,0,1
18452000,inf,0,0,0,0,1,0,0,0,0,1
19452000,inf,0,0,0,0,1,0,0,0,0,1
20452000,inf,0,0,0,0,1,0,0,1,0,1
21440000,inf,0,0,0,0,0,0,0,1,0,1
22440000,inf,0,0,0,0,0,0,0,0,0,1
23440000,inf,0,0,0,0,0,0,0,1,0,1
24440000,inf,0,0,0,0,0,0,0,0,0,1
25440000,inf,0,0,0,0,0,0,0,0,0,1
26440000,inf,0,0,0,0,0,0,0,0,0,1
27440000,inf,0,0,0,0,0,0,0,0,0,1
28252000,inf,0,0,0,0,1,1,0,1,0,1
29252000,inf,0,0,0,0,1,1,0,1,0,1
30252000,inf,0,0,0,0,1,1,0,1,0,1
31252000,inf,0,0,0,0,1,1,0,0,0,1
31972000,inf,0,1,0,0,1,1,1,0,0,1
32332000,inf,0,1,1,0,1,1,1,0,0,1
32672000,inf,0,1,1,1,1,1,1,0,0,1
33672000,inf,0,1,1,1,1,1,1,0,0,1
34672000,inf,0,1,1,1,1,1,1,0,0,1
35672000,inf,0,1,1,1,1,1,1,0,0,1
