timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
6404000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
75632000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
85712000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
85764000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
85816000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
85864000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
85916000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
85964000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
86016000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
86064000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
86116000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
86164000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
86216000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
86264000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
86316000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
86364000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
86416000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
86464000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
86516000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
86564000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
86616000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
86664000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
86720000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
86776000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
86824000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
86876000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
86924000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
86976000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
87024000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
87076000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
87124000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
87176000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
87224000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
87276000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
87324000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
87376000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
87424000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
87476000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
87524000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
87576000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
87624000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
87676000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
