timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
1000000,0.0,0.0,0.0,1
1800000,0.0,0.0,0.0,1
3000000,0.0,0.0,0.0,1
3800000,0.0,0.0,0.0,1
4600000,0.0,0.0,0.0,1
5800000,0.0,0.0,0.0,1
6600000,0.0,0.0,0.0,1
7808000,0.0,0.0,0.0,1
8608000,0.0,0.0,0.0,1
9808000,0.0,0.0,0.0,1
10608000,0.0,0.0,0.0,1
11808000,0.0,0.0,0.0,1
12600000,0.0,0.0,0.0,1
13808000,0.0,0.0,0.0,1
14600000,0.0,0.0,0.0,1
15808000,0.0,0.0,0.0,1
16208000,0.0,0.0,0.0,1
85808000,0.0,0.0,0.0,1
86208000,0.0,0.0,0.0,1
86608000,0.0,0.0,0.0,1
87808000,0.0,0.0,0.0,1
