timestamp,load,ram_usage
1004000,0.1,0.44813165
1504000,0.078431375,0.4481228
2004000,0.08,0.44773313
2504000,0.08,0.4476021
3004000,0.08,0.44762868
3504000,0.08,0.44696364
4004000,0.08,0.44725528
4504000,0.1,0.4477883
5004000,0.08,0.44779027
5504000,0.08,0.4474922
6004000,0.08,0.44753164
6504000,0.06,0.4475878
7004000,0.1,0.44754937
7504000,0.078431375,0.44749123
8004000,0.08,0.44748583
8504000,0.08,0.44749814
9004000,0.08,0.4475341
9504000,0.08,0.4474479
10004000,0.06666667,0.4474681
10504000,0.08,0.44747892
11004000,0.06666667,0.44744888
11504000,0.08,0.44745773
12004000,0.09803922,0.4474528
12504000,0.08,0.44741833
13004000,0.1,0.4473346
13504000,0.06,0.4473459
14004000,0.08,0.44737843
14504000,0.1,0.44536406
15004000,0.06557377,0.44548428
15504000,0.08,0.44546458
16004000,0.078431375,0.4452833
16504000,0.08,0.4453365
17004000,0.08,0.44545668
17504000,0.1,0.4454572
18004000,0.08,0.44531235
18504000,0.06,0.44528475
19004000,0.14,0.44536653
19504000,0.078431375,0.44538328
20004000,0.1,0.4453764
20504000,0.08,0.44539955
21004000,0.08,0.44543058
21504000,0.09803922,0.44551384
22004000,0.1,0.44551483
22504000,0.08,0.44535273
23004000,0.12,0.44542712
23504000,0.1,0.4454291
24004000,0.08,0.44547394
24504000,0.09803922,0.44544783
25004000,0.1,0.44546014
25504000,0.08,0.44546258
26004000,0.1,0.44549906
26504000,0.083333336,0.44548377
27004000,0.08,0.4455296
27504000,0.078431375,0.44552565
28004000,0.1,0.44548872
28504000,0.1,0.44553748
29004000,0.1,0.44554487
29504000,0.078431375,0.4455439
30004000,0.1,0.44554734
30504000,0.08,0.44556358
31004000,0.1,0.44552073
31504000,0.08,0.44558576
32004000,0.1,0.44561186
32504000,0.08,0.4456429
33004000,0.1,0.44566062
33504000,0.09803922,0.4457488
34004000,0.1,0.44582912
34504000,0.08,0.44580644
35004000,0.08,0.44575915
35504000,0.1,0.4457429
36004000,0.08,0.4456424
36504000,0.1,0.44566754
37004000,0.06,0.44574833
37504000,0.09803922,0.44573206
38004000,0.083333336,0.44556606
38504000,0.1,0.4456286
39004000,0.078431375,0.44564784
39504000,0.1,0.4456759
40004000,0.1,0.44551235
40504000,0.08,0.44544485
41004000,0.1,0.44548872
41504000,0.08,0.44556555
42004000,0.1,0.44547197
42504000,0.078431375,0.4452803
43004000,0.12,0.4453227
43504000,0.1,0.445302
44004000,0.08,0.44533256
44504000,0.1,0.44539118
45004000,0.09803922,0.44539362
45504000,0.08,0.4453961
46004000,0.1,0.44534832
46504000,0.08,0.44533303
47004000,0.1,0.44544634
47504000,0.1,0.4453355
48004000,0.08,0.44525963
48504000,0.08,0.4452621
49004000,0.06666667,0.44527394
49504000,0.09803922,0.44525078
50004000,0.1,0.44525716
50504000,0.1,0.44526407
51004000,0.08,0.44529018
51504000,0.08571429,0.44536012
52004000,0.08,0.44534683
52504000,0.09803922,0.44531038
53004000,0.08,0.44533747
53504000,0.12,0.4453419
54004000,0.1,0.4453079
54504000,0.1,0.44527984
55004000,0.09803922,0.4452621
55504000,0.1,0.44514486
56004000,0.1,0.4451503
56504000,0.078431375,0.44517687
57004000,0.1,0.4452409
57504000,0.1,0.44526654
58004000,0.08,0.44546062
58504000,0.09803922,0.44494337
59004000,0.08,0.44495422
59504000,0.08,0.44444582
60004000,0.083333336,0.44458818
60504000,0.11764706,0.44480148
61004000,0.08,0.4449217
61504000,0.1,0.4450685
62004000,0.08,0.4450685
62504000,0.09615385,0.4450675
63004000,0.1,0.44481725
63504000,0.08,0.44481283
64004000,0.08,0.4447744
64504000,0.08,0.44475764
65004000,0.08,0.44470444
65504000,0.08,0.4446872
66004000,0.08,0.44480592
66504000,0.08,0.44551185
67004000,0.04918033,0.4450281
67504000,0.1,0.4452207
68004000,0.06,0.4454695
68504000,0.09803922,0.44547638
69004000,0.1,0.4455424
69504000,0.08,0.44527292
70004000,0.1,0.44548377
70504000,0.071428575,0.44540545
71004000,0.1,0.44549215
71504000,0.1,0.44551876
72004000,0.08,0.44558427
72504000,0.083333336,0.44551432
73004000,0.1,0.44555718
73504000,0.078431375,0.4456094
74004000,0.1,0.4455414
74504000,0.1,0.44553846
75004000,0.08,0.44564587
75504000,0.08,0.44562566
76004000,0.09803922,0.44541776
76504000,0.08,0.44545916
77004000,0.1,0.44544783
77504000,0.1,0.44542515
78004000,0.1,0.44549757
78504000,0.1,0.4454572
79004000,0.08,0.4452823
79504000,0.1,0.44529313
80004000,0.08,0.44536406
80504000,0.1,0.44541088
81004000,0.078431375,0.44541088
81504000,0.1,0.44544092
82004000,0.08,0.4454094
82504000,0.1,0.4454897
83004000,0.06,0.44550347
83504000,0.09803922,0.44539657
84004000,0.1,0.4453838
84504000,0.083333336,0.44540694
85004000,0.1,0.44545177
85504000,0.1,0.4455227
86004000,0.078431375,0.44549266
86504000,0.1,0.44549856
